,course
82,Master of Journalism and Mass Communication (MJMC) 
137,Master of Labour Management (M.L.M) 
96,Master of Law (LL.M) 
135,Master of Laws (M.L) 
138,Master of Library Science (M.L.Sc) 
136,Master of Library and Information Science (M.L.I.Sc) 
140,Master of Management Program (M.M.P) 
141,Master of Management Studies (M.M.S) 
139,Master of Marketing Management (M.M.M) 
142,Master of Occupational Theraphy (M.O.T) 
148,Master of Performance Management (M.P.M) 
143,Master of Performing Arts (M.P.A) 
167,Master of Personal Management and Industrial Relation (MPM and IR) 
166,Master of Personnel Management (MPM) 
151,Master of Pharmacy (M.Pharma) 
178,Master of Philosophy (M.Phil) 
150,Master of Physiotheraphy (M.P.T) 
144,Master of Psychiatric Epidemiology (M.P.E) 
146,Master of Public Health (M.P.H) 
179,Master of Science (M.S) 
156,Master of Science (M.Sc) 
154,Master of Social Dynamics (M.S.D) 
155,Master of Social Work (M.S.W) 
159,Master of Technology (M.Tech) 
160,Master of Theology (M.Th) 
157,Master of Tourism Administrations (M.T.A) 
158,Master of Tourism Management (M.T.M) 
162,Master of Veterinary Science (M.V.Sc) 
161,Master of Visual Arts (M.V.A) 
163,Master of Vocational (M.Voc) 
119,Master of education in Artificial Intelligence (M.Ed AI) 
147,Masters Programme in International Business (M.P.I.B) 
116,Masters in Design (M.Des) 
133,Masters in International Management (M.I.M) 
149,Masters in Public Systems Management (M.P.S.M) 
131,Masters of Hospitality and Tourism Management (M.H.T.M) 
168,Post Graduate Programme (PG Programme) 
88,Under Graduate (UG) 
85,Under Graduate Basic Training (U.G.B.T) 
87,Under Graduate Teacher Training (U.G.T.T) 
86,Under Graduate Training (U.G.T) 
