course,abbreviation
Master of Management Studies,(M.M.S) 
Master of Marketing Management,(M.M.M) 
Master of Occupational Theraphy,(M.O.T) 
Master of Performance Management,(M.P.M) 
Master of Performing Arts,(M.P.A) 
Master of Personal Management and Industrial Relation,(MPM and IR) 
Master of Personnel Management,(MPM) 
Master of Pharmacy,(M.Pharma) 
Master of Philosophy,(M.Phil) 
Master of Physiotheraphy,(M.P.T) 
Master of Psychiatric Epidemiology,(M.P.E) 
Master of Public Health,(M.P.H) 
Master of Science,(M.S) 
Master of Science,(M.Sc) 
Master of Social Dynamics,(M.S.D) 
Master of Social Work,(M.S.W) 
Master of Technology,(M.Tech) 
Master of Theology,(M.Th) 
Master of Tourism Administrations,(M.T.A) 
Master of Tourism Management,(M.T.M) 
Master of Veterinary Science,(M.V.Sc) 
Master of Visual Arts,(M.V.A) 
Master of Vocational,(M.Voc) 
Master of education in Artificial Intelligence,(M.Ed AI) 
Masters Programme in International Business,(M.P.I.B) 
Masters in Design,(M.Des) 
Masters in International Management,(M.I.M) 
Masters in Public Systems Management,(M.P.S.M) 
Masters of Hospitality and Tourism Management,(M.H.T.M) 
Post Graduate Programme,(PG Programme) 
Under Graduate,(UG) 
Under Graduate Basic Training,(U.G.B.T) 
Under Graduate Teacher Training,(U.G.T.T) 
Under Graduate Training,(U.G.T) 
