C. Abdul Hakeem College of Engineering & Technology,Melvisharam,Tamil Nadu,,
C.K.Pithawaka College of Engineering & Technology,Surat,Gujarat,,
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,,
Calcutta Institute of Engineering and Management,Kolkata,West Bengal,,
Calcutta Institute of Technology,Uluberia,West Bengal,,
Cambridge Institute of Technology,Bengaluru,Karnataka,,
Cambridge Institute of Technology,Ranchi,Jharkhand,,
Canara Engineering College,Mangaluru,Karnataka,,
Capital Engineering College (CEC),Bhubaneswar,Odisha,,
CARE College of Engineering,Tiruchirappalli,Tamil Nadu,,
"Central Institute of Plastics Engineering & Technology, Ahmadabad",Ahmadabad,Gujarat,,
"Central Institute of Plastics Engineering & Technology, Lucknow",Lucknow,Uttar Pradesh,,
"Central Institute of Plastics Engineering and Technology, Chennai",Chennai,Tamil Nadu,,
Central Institute of Technology,Kokrajhar,Assam,,
Central University of Haryana,Mahendergarh,Haryana,,
Central University of Kashmir,Ganderbal,Jammu and Kashmir,,
Centurion University of Technology and Management,Paralakhemundi,Odisha,,
Ch. Devi Lal State Institute of Engineering,Sirsa,Haryana,,
Chadalawada Ramanamma Engineering College,Tirupati,Andhra Pradesh,,
Chaitanya (Deemed to be University),Warangal,Telangana,,
Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,,
Chaitanya Bharathi Institute of Technology,Proddatur,Andhra Pradesh,,
Chalapathi Institute of Engineering and Technology,Guntur,Andhra Pradesh,,
Chandigarh College of Engineering & Technology,Chandigarh,Chandigarh,,
Chandigarh Engineering College,Sahibzada Ajit Singh Nagar,Punjab,,
Chandigarh Engineering College Jhanjeri,Sahibzada Ajit Singh Nagar,Punjab,,
Chandigarh University,Mohali,Punjab,,
Chandubhai S. Patel Institute of Technology,Changa,Gujarat,,
Chatrapati Sahuji Maharaj Kanpur University,Kanpur,Uttar Pradesh,,
Chaudhary Charan Singh University Meerut,Meerut,Uttar Pradesh,,
Chebrolu Engineering College,Chebrolu,Andhra Pradesh,,
Chennai Institute of Technology,Chennai,Tamil Nadu,,
Chettinad College of Engineering & Technology,Karur,Tamil Nadu,,
Chhatrapati Shivaji Institute of Technology Kolihapuri,Durg,Chhattisgarh,,
Chhotubhai Gopalbhai Patel Institute of Technology,Bardoli,Gujarat,,
Chitkara University,Solan,Himachal Pradesh,,
Chitkara University,Rajpura,Punjab,,
Chouksey Engineering College,Bilaspur,Chhattisgarh,,
Christ College of Engineering,Thrissur,Kerala,,
Christ College of Engineering and Technology,Pondicherry,Pondicherry,,
Christ The King Engineering College,Coimbatore,Tamil Nadu,,
Christ University,Bengaluru,Karnataka,,
Christian College of Engineering and Technology,Dindigul,Tamil Nadu,,
"City Engineering College, BANGALORE",Bangalore,Karnataka,,
CMR College of Engineering & Technology,Hyderabad,Telangana,,
CMR Engineering College,Rangareddy,Telangana,,
CMR Institute of Technology,Hyderabad,Telangana,,
CMR Technical Campus,Hyderabad,Telangana,,
Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,,
College of Engineering,Solapur,Maharashtra,,
College of Engineering & Technology,Akola,Maharashtra,,
College of Engineering and Management,Kolaghat,West Bengal,,
"College of Engineering & Technology, Bhubaneswar",Bhubaneswar,Odisha,,
"College of Engineering and Technology, IILM Academy of Higher Learning",Gautam Buddha Nagar,Uttar Pradesh,,
College of Engineering Roorkee,Roorkee,Uttarakhand,,
"College of Engineering, Karunagappally",Karunagappally,Kerala,,
"College of Engineering, Kidangoor",Kottayam,Kerala,,
"College of Engineering, Pathanapuram",Pathanapuram,Kerala,,
"College of Engineering, Pune",Pune,Maharashtra,,
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,,
"College of Engineering, Vadakara",Vadakara,Kerala,,
College of Technology and Engineering,Udaipur,Rajasthan,,
Coorg Institute of Technology,Ponnampet,Karnataka,,
CSMSS Chh. Shahu College of Engineering,Aurangabad,Maharashtra,,
"CT Institute of Engineering Management and Technology, Shahpur",Jalandhar,Punjab,,
CVR College of Engineering,Ibrahimpatan,Telangana,,
D. Y. Patil College of Engineering & Technology,Kolhapur,Maharashtra,,
"D. Y. Patil Education Society, D.Y. Patil Technical Campus, Faculty of Engineering",Kolhapur,Maharashtra,,
"D. Y. Patil Pratishthans D.Y. Patil College of Engineering, Pune",Pune,Maharashtra,,
D. Y. Patil College of Engineering Akurdi,Pune,Maharashtra,,
D. Y. Patil International University,Pune,Maharashtra,,
"D.K.T.E. Society`s Textile and Engineering Institute, Ichalkaranji",Ichalkaranji,Maharashtra,,
D.N.R. College of Engineering & Technology,West Godavari,Andhra Pradesh,,
Dadi Institute of Engineering & Technology (DIET),Anakapalle,Andhra Pradesh,,
Daita Madhusudana Sastry Sri Venkateswara Hindu College of Engineering,Machilipatnam,Andhra Pradesh,,
Darshan Institute of Engineering & Technology,Rajkot,Gujarat,,
"Datta Kala Group of Institutions Faculty of Engineering, Pune",Swami-Chincholi (Bhigwan),Maharashtra,,
Datta Meghe College of Engineering,Navi Mumbai,Maharashtra,,
Dayalbagh Educational Institute,Agra,Uttar Pradesh,,
Dayananda Sagar Academy of Technology & Management Technical Campus,Bengaluru,Karnataka,,
Dayananda Sagar College of Engineering,Bengaluru,Karnataka,,
Dayananda Sagar University,Bengaluru,Karnataka,,
Deenbandhu Chhotu Ram University of Science & Technology,Sonipat,Haryana,,
Defence Institute of Advanced Technology,Pune,Maharashtra,,
Delhi Technological University,New Delhi,Delhi,,
Deogiri Technical Campus for Engineering and Management Studies,Aurangabad,Maharashtra,,
Desh Bhagat University,Mandi Gobindgarh,Punjab,,
Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,,
Dewan V S Institute of Engineering and Technology,Meerut,Uttar Pradesh,,
Dhanalakshmi Srinivasan College of Engineering,Coimbatore,Tamil Nadu,,
Dhanalakshmi Srinivasan College of Engineering and Technology,Mamallapuram,Tamil Nadu,,
Dhanekula Institute of Engineering & Technology,Vijayawada,Andhra Pradesh,,
Dharmsinh Desai University,Nadiad,Gujarat,,
Dhirajlal Gandhi College of Technology,Salem,Tamil Nadu,,
Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat,,
"Dhole Patil Education Society`s, Dhole Patil College of Engineering.",Pune,Maharashtra,,
Dibrugarh University Institute of Engineering and Technology,Dibrugarh,Assam,,
DIT University,Dehradun,Uttarakhand,,
"Don Bosco College of Engineering, Margao",South Goa,Goa,,
"Don Bosco Institute of Technology, Bangalore",Bengaluru,Karnataka,,
"Don Bosco Institute of Technology, Mumbai",Mumbai,Maharashtra,,
Dr. A.P.J. Abdul Kalam University,Indore,Madhya Pradesh,,
Dr. Ambedkar Institute of Technology,Bengaluru,Karnataka,,
"DR. Ambedkar Institute of Technology for Handicapped, U.P.",Kanpur,Uttar Pradesh,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,,
Dr. B. R. Ambedkar Institute of Technology,South Andaman,Andaman and Nicobar Islands,,
"Dr. B.C. Roy Engineering College, Durgapur",Bardhaman,West Bengal,,
Dr. Babasaheb Ambedkar Technological University,Raigarh,Maharashtra,,
Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering,Pune,Maharashtra,,
Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering and Technology,Pune,Maharashtra,,
"Dr. D. Y. Patil Institute of Engineering, Management and Research",Pune,Maharashtra,,
Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,,
