,name,city,state,nirfRank,rank
964,Fazl Ali College,Mokokchung,Nagaland,nan,nan
965,Federal Institute of Science and Technology (FISAT),Ernakulam,Kerala,nan,nan
966,Ferugusson College(Autonomous),Pune,Maharashtra,nan,nan
967,Finolex Academy of Management and Technology,Ratnagiri,Maharashtra,nan,nan
968,Fore School of Management,nan,nan,60,nan
969,Foster Development School of Management,Aurangabad,Maharashtra,nan,nan
970,"Fr. Agnel College of Arts & Commerce, Pilar",North Goa,Goa,nan,nan
971,Fr. C. Rodrigues Institute of Technology,Navi Mumbai,Maharashtra,nan,nan
972,Fr. Conceicao Rodrigues College of Engineering,Mumbai,Maharashtra,nan,nan
973,Fr. Muller Medical College,Mangalore,Karnataka,nan,nan
974,Francis Xavier Engineering College,Tirunelveli,Tamil Nadu,nan,nan
975,Furkating College,Golaghat,Assam,nan,nan
976,Future Institute of Engineering and Management,Kolkata,West Bengal,nan,nan
977,Future Institute of Technology,Kolkata,West Bengal,nan,nan
978,"G AND R INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BHULANDSHAR",BULANDHAHR,Uttar Pradesh,nan,nan
979,G D C Muwani,PITHORAGARH,Uttarakhand,nan,nan
980,G H Patel College of Engineering & Technology,Vallabh Vidyanagar,Gujarat,nan,nan
981,"G M E R S MEDICAL COLLEGE, AHMEDABAD",Ahmadabad,Gujarat,nan,nan
982,"G M E R S MEDICAL COLLEGE, GANDHINAGAR",Gandhinagar,Gujarat,nan,nan
983,"G M Institute of Technology, Davangere",Davangere,Karnataka,nan,nan
984,"G S S S Institute of Engineering & Technology for Women, Mysore",Mysuru,Karnataka,nan,nan
985,G S Tompe Arts Commerce and Science College,Chandur Bazar,Maharashtra,nan,nan
986,G. A. C. for Men,Chennai,Tamil Nadu,nan,nan
987,G. B. Pant Government Engin,Delhi,Delhi,260,nan
988,G. B. Pant Government Engineering College,Delhi,Delhi,nan,nan
989,G. C. for Women,Mahendragarh,Haryana,nan,nan
990,G. D. Goenka University,Gurgaon,Haryana,nan,nan
991,G. G. D. S. D. College,Hoshiarpur,Punjab,nan,nan
992,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra,163,nan
993,G. H. Raisoni Institute of Business Management,Jalgaon,Maharashtra,nan,nan
994,G. I. D. C. Degree Enginering College,Navsari,Gujarat,nan,nan
995,G. K. M. College of Engineering and Technology,Chennai,Tamil Nadu,nan,nan
996,G. L. A. University,Mathura,Uttar Pradesh,186,nan
997,G. L. Bajaj Institute of Management and Research,Greater Noida,Uttar Pradesh,nan,nan
998,G. L. Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,195,nan
999,G. Madegowda Institute of Technology,Mandya,Karnataka,nan,nan
1000,G. N. A. University,Kapurthala,Punjab,nan,nan
1001,G. N. V. S. Institute of Managment,Mumbai,Maharashtra,nan,nan
1002,G. Narayanamma Institute of Technology & Sci,Hyderabad,Telangana,261,nan
1003,G. Narayanamma Institute of Technology & Science for Women,Hyderabad,Telangana,nan,nan
1004,G. Pulla Reddy Engin,Kurnool,Andhra Pradesh,262,nan
1005,G. Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,nan,nan
1006,G. Pullaiah College of Engineering and Technology,Kurnool,Andhra Pradesh,nan,nan
1007,G. S. College of Commerce and Economics,"Near Civil Lines Thana, Jabalpur",Madhya Pradesh,nan,nan
1008,"G. S. Science, Arts and Commerce College",Khamgaon,Maharashtra,nan,nan
1009,G. Venkataswamy Naidu College,Kovilpatti,Tamil Nadu,nan,nan
1010,G.C. Gohana (Sonepat),Gohana,Haryana,nan,nan
1011,"G.C. Jain Commerce College, Chaibasa",CHAIBASA,Jharkhand,nan,nan
1012,"G.C. Meham, Rohtak",Rohtak,Haryana,nan,nan
1013,"G.P. Pant Memorial Government College Rampur Bhushar, Distt Shimla",Shimla,Himachal Pradesh,nan,nan
1014,G.P. Women's College,Imphal West,Manipur,nan,nan
1015,G.T.N. Arts College,Dindigul,Tamil Nadu,nan,nan
1016,G.T.R.M. Government Degree College,Kurnool,Andhra Pradesh,nan,nan
1017,G.V.M. Girls College,Sonipat,Haryana,nan,nan
1018,G.V.S.M. Government Degree College,Ulavapadu,Andhra Pradesh,nan,nan
1019,"GEMS Medical College, Srikakulam",Srikakulam,Andhra Pradesh,nan,nan
1020,GF's Godavari College of Engineering,Jalgaon,Maharashtra,nan,nan
1021,"GHANSHYAM BINANI ACADEMY OF MANAGEMENT SCIENCES, MIRZAPUR",Mirzapur,Uttar Pradesh,nan,nan
1022,"GMERS Medical College, Gotri, Vadodara",Vadodara,Gujarat,nan,nan
1023,GMR Institute of Technology,Rajam,Andhra Pradesh,188,nan
1024,GOA INSTITUTE OF MANAGEMENT,Sanquelim,Goa,nan,nan
1025,GOA Institute of Management,nan,nan,36,nan
1026,GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON,Jalgaon,Maharashtra,nan,nan
1027,"GOVERNMENT CHENGALPATTU MEDICAL COLLEGE & HOSPITAL, KANCHEEPURAM",Chengalpattu,Tamil Nadu,nan,nan
1028,GOVERNMENT DENTAL COLLEGE,Thiruvananthapuram,Kerala,nan,nan
1029,"GOVT. COLLEGE FOR WOMEN, JASSAUR KHERI",Bahadurgarh,Haryana,nan,nan
1030,GRAPHIC ERA HILL UNIVERSITY,Dehradun,Uttarakhand,nan,nan
1031,GRT Institute of Engineering and Technology,Thiruvallur,Tamil Nadu,nan,nan
1032,GURU NANAK INSTITUTE OF DENTAL SCIENCES & RESEARCH,Kolkata-,West Bengal,nan,nan
1033,GVRS Government Degree College,Kurnool,Andhra Pradesh,nan,nan
1034,Galgotias College of Engineering & Technology,Greater Noida,Uttar Pradesh,192,nan
1035,Galgotias Institute of Management & Technology,Greater Noida,Uttar Pradesh,nan,nan
1036,Galgotias University,nan,nan,93,nan
1037,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,147,nan
1038,Gandhi Engieering College (GEC),Bhubaneswar,Odisha,nan,nan
1039,"Gandhi Institute for Education and Technology (GIET), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
1040,Gandhi Institute for Technological Aavancement (GITA,Bhubaneswar,Odisha,211,nan
1041,"Gandhi Institute for Technological Aavancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
1042,"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
1043,Gandhi Institute of Engineering ,Gunupur,Odisha,263,nan
1044,Gandhi Institute of Engineering and Technology,Gunupur,Odisha,nan,nan
1045,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,nan,nan
1046,Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,nan,92
1047,Gandhi Memorial National College,Ambala,Haryana,nan,nan
1048,"Gandhinagar Charitable Trust Sanchalit Samarpan Arts and Commerce College, Gandhinagar",Gandhinagar,Gujarat,nan,nan
1049,Ganga Institute of Technology & Management,Jhajjar,Haryana,nan,nan
1050,Gangadhar Meher University,Sambalpur,Odisha,nan,nan
1051,Ganpat University,"Ganpat Vidyanagar, Mehsana",Gujarat,nan,nan
1052,Ganpatrao Arwade College of Commerce,Sangli,Maharashtra,nan,nan
1053,Gargaon College,Sivasagar,Assam,nan,nan
1054,Gargi College,Delhi,Delhi,nan,nan
1055,Gargi Memorial Institute of Technology Campus,Kolkata,West Bengal,nan,nan
1056,Gates Institute of Technology,Gooty,Andhra Pradesh,nan,nan
1057,Gauhati University,Guwahati,Assam,nan,36
1058,Gautam Buddha University,Gautam Buddha Nagar,Uttar Pradesh,nan,nan
1059,Gayatri Degree College,Seethanagaram,Andhra Pradesh,nan,nan
1060,"Gayatri Degree College, Kota road",Vizianagaram,Andhra Pradesh,nan,nan
1061,Gayatri Mahila Degree College,Parvatipuram,Andhra Pradesh,nan,nan
1062,Gayatri Vidya Parishad College ,Visakhapatnam,Andhra Pradesh,264,nan
1063,Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),Visakhapatnam,Andhra Pradesh,nan,nan
1064,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh,nan,nan
1065,Gayatri Vidya Parishad College of Engineering for Women,Visakhapatnam,Andhra Pradesh,nan,nan
1066,Geeta Institute of Law,Panipat,Haryana,nan,nan
1067,Geetanjali College of Engineering and Technology,Medchal Malkajgiri,Telangana,nan,nan
1068,Geetanjali Institute of Science and Technology,Nellore,Andhra Pradesh,nan,nan
1069,Geetanjali Institute of Technical Studies,Udaipur,Rajasthan,nan,nan
1070,Geetanjali University,Udaipur,Rajasthan,nan,nan
1071,"General Shivdev Singh Diwan Gurbachan Singh Khalsa College, Patiala",Patiala,Punjab,nan,nan
1072,Gharda Foundations Gharda Institute of Technology,Ratnagiri,Maharashtra,nan,nan
1073,"Ghatshila College, Ghatshila",GHATSILA,Jharkhand,nan,nan
1074,Gian Jyoti Institute of Management and Technology,Mohali,Punjab,nan,nan
1075,"Giani Zail Singh Campus College of Engineering & Technology, Bathinda",Bathinda,Punjab,nan,nan
1076,Girdari Lal Dogra Memorial Degree College,Hiranagar,Jammu and Kashmir,nan,nan
1077,Girijananda Chowdhury Institute of Management & Technology,Kamrup,Assam,nan,nan
1078,Girijananda Chowdhury Institute of Management and Technology,Tezpur,Assam,nan,nan
1079,Girraj Government College,Nizamabad,Telangana,nan,nan
1080,Gitai Institute of Management,Aurangabad,Maharashtra,nan,nan
1081,Gitam Dental College & Hospital,Vishakhapatnam,Andhra Pradesh,33,nan
1082,Global Academy of Technology,Bengaluru,Karnataka,nan,nan
1083,Global Institute of Engineering and Technology,Vellore,Tamil Nadu,nan,nan
1084,"Global Nature Care Group Sangathan Institution, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
1085,Global Research Institute of Management & Technology,Yamuna Nagar,Haryana,nan,nan
1086,Globsyn Business School,24 Paraganas (S),West Bengal,nan,nan
1087,Gnanamani College of Technology,Namakkal,Tamil Nadu,nan,nan
1088,Goa College of Engineering (Government of Goa),Ponda,Goa,nan,nan
1089,Goa College of Home Science Campal Panaji,Panaji,Goa,nan,nan
1090,Goa College of Music Altinho Panaji,Panaji,Goa,nan,nan
1091,Goa Medical College Bambolim,North Goa,Goa,nan,nan
1092,Goa Vidyaprasarak Mandals Gopal Govind Poy Raiturcar College of Commerce and Economics,North Goa,Goa,nan,nan
1093,Goalpara College,Goalpara,Assam,nan,nan
1094,Gobi Arts & Science College,Erode,Tamil Nadu,nan,nan
1095,Godavari Institute of Engineerin,Rajahmundry,Andhra Pradesh,212,nan
1096,Godavari Institute of Engineering & Technology,Rajahmundry,Andhra Pradesh,nan,nan
1097,Godutai Dodappa Appa Arts & Commerce College for Women,Gulbarga,Karnataka,nan,nan
1098,Gogte Institute of Techn,Belagavi,Karnataka,265,nan
1099,"Gogte Institute of Technology, Belgaum",Belagavi,Karnataka,nan,nan
1100,Gojan School of Business and Technology,Chennai,Tamil Nadu,nan,nan
1101,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,148,nan
1102,"Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies and Research",Nashik,Maharashtra,nan,nan
1103,Gokhale Education Societys Shri Bhausaheb Vartak Arts Science and Commerce College,Mumbai-,Maharashtra,nan,nan
1104,Gokula Krishna College of Engineering,Sullurupeta,Andhra Pradesh,nan,nan
1105,Gonzaga College of Arts & Science for women,Krishnagiri,Tamil Nadu,nan,nan
1106,"Gopikabai Sitaram Gawande College, Umarkhed",Umarkhed,Maharashtra,nan,nan
1107,"Gopinath Singh Mahila College,Garhwa",Garhwa,Jharkhand,nan,nan
1108,Goswami Ganesh Dutta S.D. College,Chandigarh,Chandigarh,nan,nan
1109,Gouthami Institute of Technology & Management for Women,Proddatur,Andhra Pradesh,nan,nan
1110,Government Arts & Commerce College Jadar,Sabar Kantha,Gujarat,nan,nan
1111,"Government Arts & Science College, Armoor (5010)",Nizamabad,Telangana,nan,nan
1112,"Government Arts & Science College, Kozhinjampara",Palakkad,Kerala,nan,nan
1113,Government Arts And Commerce College,Sabarkantha,Gujarat,nan,nan
1114,Government Arts College,Ranavav,Gujarat,nan,nan
1115,Government Arts College,The Nilgiris,Tamil Nadu,nan,nan
1116,Government Arts College,MADURAI,Tamil Nadu,nan,nan
1117,Government Arts College,Dharmapuri,Tamil Nadu,nan,nan
1118,Government Arts College,Salem,Tamil Nadu,nan,nan
1119,Government Arts College,Coimbatore,Tamil Nadu,nan,nan
1120,Government Arts College,Tiruchirappalli,Tamil Nadu,nan,nan
1121,Government Arts College,Cuddalore,Tamil Nadu,nan,nan
1122,Government Arts College,Karur,Tamil Nadu,nan,nan
1123,Government Arts College Thiruvannamalai,Thiruvannamalai,Tamil Nadu,nan,nan
1124,Government Arts College for Men,Krishnagiri,Tamil Nadu,nan,nan
1125,Government Arts College for Women,Salem,Tamil Nadu,nan,nan
1126,Government Arts College for Women,Pudukkottai,Tamil Nadu,nan,nan
1127,"Government Arts College for Women, Sivaganga",Sivagangai,Tamil Nadu,nan,nan
1128,"Government Arts College, Ariyalur",Ariyalur,Tamil Nadu,nan,nan
1129,"Government Arts College, Chitradurga",Chitradurga,Karnataka,nan,nan
1130,"Government Arts College, Hassan",Hassan,Karnataka,nan,nan
1131,"Government Arts College, Karur",Karur,Tamil Nadu,nan,nan
1132,"Government Arts College, Kumbakonam",Kumbakonam,Tamil Nadu,nan,nan
1133,"Government Arts College, Maninagar",Ahmedabad,Gujarat,nan,nan
1134,"Government Arts College, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
1135,"Government Arts College, Tiruppur",Udumalpet,Tamil Nadu,nan,nan
1136,"Government Arts Commerce College, Keolari, Seoni",keolari,Madhya Pradesh,nan,nan
1137,Government Arts and Commerce College,Jafrabad,Gujarat,nan,nan
1138,"Government Arts and Science College for Women , Barugur",Barugur,Tamil Nadu,nan,nan
1139,"Government Arts and Science College, Hosur",Krishnagiri,Tamil Nadu,nan,nan
1140,"Government Arts and Science College, Kangeyam",Tiruppur,Tamil Nadu,nan,nan
1141,"Government Arts and Science College, Komarapalayam",Namakkal,Tamil Nadu,nan,nan
1142,"Government Arts and Science College, Kovilpatti",kovilpatti,Tamil Nadu,nan,nan
1143,"Government Autonmous Science College, Civil Lines, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
1144,"Government Autonomous M.K.B. Arts & Commerce College for Women, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
1145,Government Brennen College,Kannur,Kerala,nan,nan
1146,Government Chatrsal College Pichore,PICHHORE,Madhya Pradesh,nan,nan
1147,Government City College,Hyderabad,Telangana,nan,nan
1148,Government College,Rajahmundry,Andhra Pradesh,nan,nan
1149,Government College,DURG,Chhattisgarh,nan,nan
1150,Government College,District Cuddpah,Andhra Pradesh,nan,nan
1151,Government College Alampur,alampur,Madhya Pradesh,nan,nan
1152,Government College Aroon,Aron,Madhya Pradesh,nan,nan
1153,Government College Baldwara (Mandi),Baldwara,Himachal Pradesh,nan,nan
1154,Government College Hamirpur,Hamirpur,Himachal Pradesh,nan,nan
1155,Government College Karera,Karera,Madhya Pradesh,nan,nan
1156,"Government College Kasaragod, Vidya Nagar",Kasaragod,Kerala,nan,nan
1157,Government College Kolaras,kolaras,Madhya Pradesh,nan,nan
1158,Government College Mahgoan,Bhind,Madhya Pradesh,nan,nan
1159,Government College Muganwali,MUNGAOLI,Madhya Pradesh,nan,nan
1160,Government College Ropar,Rupnagar,Punjab,nan,nan
1161,Government College Vijaypur,Sheopur,Madhya Pradesh,nan,nan
1162,Government College for Men,Kurnool,Andhra Pradesh,nan,nan
1163,"Government College for Men, Kadapa",Kadapa,Andhra Pradesh,nan,nan
1164,Government College for Women,"Gandhi Nagar, Dist. Jammu",Jammu and Kashmir,nan,nan
1165,Government College for Women (Autonomous),Srikakulam,Andhra Pradesh,nan,nan
1166,Government College for Women Nawakadal,"Nawakadal, Dist. Srinagar",Jammu and Kashmir,nan,nan
1167,"Government College for Women, Kumbakonam",KUMBAKONAM - 612 001,Tamil Nadu,nan,nan
1168,"Government College for Women, Parade Ground , Jammu",Jammu & Kashmir,Jammu and Kashmir,nan,nan
1169,"Government College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
1170,"Government College for Women, Udhampur",Udhampur,Jammu and Kashmir,nan,nan
1171,Government College of Arts & Commerce Virnoda Pernem,Pernem,Goa,nan,nan
1172,Government College of Arts & Science,Aurangabad,Maharashtra,nan,nan
1173,Government College of Arts Science & Commerce Sanquelim,Sankhali,Goa,nan,nan
1174,"Government College of Arts Science & Commerce, Khandola",Marcela,Goa,nan,nan
1175,"Government College of Arts Science & Commerce, Quepem",South Goa,Goa,nan,nan
1176,"Government College of Commerce and Economics, Borda",Margao,Goa,nan,nan
1177,Government College of Engineering,Theni,Tamil Nadu,nan,nan
1178,Government College of Engineering,Kalahandi,Odisha,nan,nan
1179,Government College of Engineering,Keonjhar,Odisha,nan,nan
1180,Government College of Engineering,Kannur,Kerala,nan,nan
1181,Government College of Engineering,Krishnagiri,Tamil Nadu,nan,nan
1182,Government College of Engineering,Karad,Maharashtra,nan,nan
1183,Government College of Engineering,Salem,Tamil Nadu,nan,nan
1184,Government College of Engineering & Ceramic Technology,Kolkata,West Bengal,nan,nan
1185,Government College of Engineering & Leather Technology,Kolkata,West Bengal,nan,nan
1186,Government College of Engineering & Technology,Jammu,Jammu and Kashmir,nan,nan
1187,Government College of Engineering (Academic Autonomous),Aurangabad,Maharashtra,nan,nan
1188,Government College of Engineering and Research,Avasari (Khurd),Maharashtra,nan,nan
1189,"Government College of Engineering, Amravati",Amravati,Maharashtra,nan,nan
1190,"Government College of Engineering, Jalgaon",Jalgaon,Maharashtra,nan,nan
1191,Government College of Technology,Coimbatore,Tamil Nadu,160,nan
1192,"Government College, Attingal",Thiruvananthapuram,Kerala,nan,nan
1193,"Government College, Barwala",Barwala,Haryana,nan,nan
1194,"Government College, Ellenabad",Sirsa,Haryana,nan,nan
1195,"Government College, Gharaunda",Gharaunda,Haryana,nan,nan
1196,"Government College, Hisar",HISAR,Haryana,nan,nan
1197,"Government College, Indergarh, Datia",M.P,Madhya Pradesh,nan,nan
1198,"Government College, Ishagarh",ISHAGARH,Madhya Pradesh,nan,nan
1199,"Government College, Jind",Jind,Haryana,nan,nan
1200,"Government College, Kalka",Panchkula,Haryana,nan,nan
1201,"Government College, Kurwai, Vidisha",KURWAI,Madhya Pradesh,nan,nan
1202,"Government College, Lateri",Lateri,Madhya Pradesh,nan,nan
1203,"Government College, Mandi Dabwali",Dabwali,Haryana,nan,nan
1204,"Government College, Nalwa",Hisar,Haryana,nan,nan
1205,"Government College, Narnaul",Narnaul,Haryana,nan,nan
