,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
75,108,Acropolis Institute of Technology and Research,Indore,Madhya Pradesh,,,,
76,110,Adamas University,Kolkata,West Bengal,,,,
77,111,Adani Institute of Infrastructure Engineering,Ahmedabad,Gujarat,,,,
78,1942,Adarsh College,Dist. Giridih,Jharkhand,,,,
79,1944,"Adarsh Mahavidyalaya, Vita",Sangli,Maharashtra,,,,
80,1945,"Adarsh Science, Jairamdas Bhagchand Arts & Birla Commerce College, Dhamangaon",Amravati,Maharashtra,,,,
81,1946,"Adarsh Shikshan Sanstha`s Kalikadevi Arts, Commerce & Science College",Shirur Kasar,Maharashtra,,,,
82,1947,"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli",Hingoli,Maharashtra,,,,
83,1948,Adharsh Vidyalaya College of Arts and Science for Women,Bhavani Tk,Tamil Nadu,,,,
84,1949,Adhiparasakthi College of Arts and Science,Raniipet,Tamil Nadu,,,,
85,112,Adhiparasakthi Engineering College,Chengalpat,Tamil Nadu,,,,
86,1950,"Adhiyaman Arts and Science College for Women, Srinivasa Nagar",Krishnagiri,Tamil Nadu,,,,
87,1369,Adi Shankara Institute of Engineering and Technology,Kalady,Kerala,,,,
88,1758,Adichunchanagiri Institute of Medical Science,Nagamangala,Karnataka,,,,
89,1951,Adichunchanagiri Institute of Technology,Chikmagalur,Karnataka,,,,
90,115,"Adina Institute of Science and Technology, Sagar",Sagar,Madhya Pradesh,,,,
91,1952,"Aditanar College of Arts & Science, Virapandianpattinam",Thoothukkudi,Tamil Nadu,,,,
92,1953,Aditi Mahavidyalaya,Delhi,Delhi,,,,
93,116,Aditya College of Engineering,Surampalem,Andhra Pradesh,,,,
94,118,Aditya College of Engineering & Technology,Surampalem,Andhra Pradesh,,,,
95,1955,Aditya Degree College,Visakhapatnam,Andhra Pradesh,,,,
96,1956,"Aditya Degree College for Women, Kakinada",KAKINADA,Andhra Pradesh,,,,
97,119,Aditya Engineering College,Surampalem,Andhra Pradesh,,,,
98,1371,Aditya Institute of Management Studies and Research,Mumbai,Maharashtra,,,,
99,120,Aditya Institute of Technology and Management,Tekkali,Andhra Pradesh,,,,
100,1957,Adusumilli Gopalakrishnaiah & Sugarcane Growers Siddhartha Degree College of Arts & Science,Vuyyuru,Andhra Pradesh,,,,
101,121,Aeya Institute of Engineering & Technology,Jaipur,Rajasthan,,,,
102,1958,Aggarwal College,Dist. Faridabad,Haryana,,,,
103,122,Agnel Institute of Technology and Design,Assagao,Goa,,,,
104,123,Agni College of Technology,Chennai,Tamil Nadu,,,,
105,1959,"Agricultural Development Trusts Sharadabai Pawar Mahila Arts, Commerce & Science College",Baramati,Maharashtra,,,,
106,1960,Agurchand Manmull Jain College,Chennai,Tamil Nadu,,,,
107,1372,Ahalia School of Management,Palakkad,Kerala,,,,
108,1961,Ahmednagar Jilha Maratha Vidya Prasarak Samaj`s New Arts Commerce & Science College,Ahmednagar,Maharashtra,,,,
109,1962,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj`s New Arts,Commerce & Science College",Ahmednagar,Maharashtra,,,,
110,1963,"Ahmednagar Jilha Maratha Vidya Prasarak Samajs New Arts,Commerce & Science College, Shevgaon, Dist. Ahmednagar",Shevgaon,Maharashtra,,,,
111,126,Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh,,,,
112,1373,Ajay Kumar Garg Institute of Management,Ghaziabad,Uttar Pradesh,,,,
113,124,Ajeenkya DY Patil School Of Engineering,Pune,Maharashtra,,,,
114,125,Ajeenkya DY Patil University,Pune,Maharashtra,,,,
115,1964,Akbar Peerbhoy College of Commerce & Economics,Mumbai,Maharashtra,,,,
116,127,Akshaya College of Engineering and Technology,Coimbatore,Tamil Nadu,,,,
117,1965,"Al- Ameen College, Edathala North P.O. Alwaye",Ernakulam,Kerala,,,,
118,4186,Al-Badar Rural Gulbarga Dental College & Hospital,Gulbarga,Karnataka,,,,
119,128,Alagappa Chettiar Government College of Engineering and Technology,Sivaganga,Tamil Nadu,,,,
120,1966,"Alagappa Government Arts College, Karaikudi",Karaikudi,Tamil Nadu,,,,
121,4574,Alagappa University,Karaikudi,Tamil Nadu,,,,53.0
122,1375,"Alard Institute and Management Sciences, Pune",Pune,Maharashtra,,,,
123,1376,Aldel Education Trust's St. John College of Engineering,Palghar,Maharashtra,,,,
124,4540,Aligarh Muslim University,Aligarh,Uttar Pradesh,,,,19.0
125,4495,Aligarh Muslim University ,Aligarh,Uttar Pradesh,,,,
126,4479,All India Institute of Medical Sciences ,New Delhi,Delhi,,,,
127,1760,All India Institute of Medical Sciences Bhopal,Bhopal,Madhya Pradesh,,,,
128,1761,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,,,,
129,4607,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,,,,86.0
130,1763,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,,,,
131,5171,"All India Institute of Medical Sciences, Raipur",,,,,,49.0
132,5170,"All India Institute of Medical Sciences, Rishikesh",,,,,,48.0
133,131,"All India Shivaji Memorial Societys College of Engineering, Pune",Pune,Maharashtra,,,,
134,1378,"All India Shivaji Memorial Societys Institute of Management, Pune",Pune,Maharashtra,,,,
135,132,All India Shri Shivaji Memorial Society`s Institute of Information Technology,Pune,Maharashtra,,,,
136,1967,"All Saints' College, Thiruvananthapuram",Thiruvananthapuram,Kerala,,,,
137,1379,Allagadda Institute of Management Science,Allagadda,Andhra Pradesh,,,,
138,4326,Allahabad Degree College,Prayagraj,Uttar Pradesh,,,,
139,4944,Allia,Bengaluru,Karnataka,,,,253.0
140,133,Alliance University,Bengaluru,Karnataka,,,,
141,1969,Alpha Arts and Science College,Chennai,Tamil Nadu,,,,
142,1970,"Alphonsa College, Pala",Pala,Kerala,,,,
143,1971,"Alva`s College, Sundari Ananada Alva Campus, Moodabidri",Moodbidri,Karnataka,,,,
144,134,"Alvas Institute of Engineering and Technology, Moodbidri",Dakshina Kannada,Karnataka,,,,
145,1972,"Amal College of Advanced Studies, Myladi",Nilambur,Kerala,,,,
146,135,Amal Jyothi College of Engineering,Kottayam,Kerala,,,,
147,1973,Amar Shahid Baba Ajit Singh Jujhar Singh Memorial College,Ropar,Punjab,,,,
148,1974,"Ambah PG College, Ambah",Morena,Madhya Pradesh,,,,
149,136,Ambalika Institute of Management and Technology,Lucknow,Uttar Pradesh,,,,
150,1975,Ambedkar College,Kumarghat,Tripura,,,,
151,1383,Ambedkar Institute of Management Studies,Visakhapatnam,Andhra Pradesh,,,,
152,1976,Amdar Shashikant Shinde Mahavidyalaya,Dist. Satara,Maharashtra,,,,
153,1977,Amguri College,Sivasagar,Assam,,,,
154,5049,Amity University,,,,,,28.0
155,138,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,,,,
156,4329,"Amity University, Gwalior",Gwalior,Madhya Pradesh,,,,
157,4824,"Amity University, Jaipur",Jaipur,Rajasthan,,,,133.0
158,1387,"Amity University, Mumbai",Mumbai,Maharashtra,,,,
159,1388,"Amity University, Raipur",Raipur,Chhattisgarh,,,,
160,4330,"Amolakchand Vidhi Mahavidyalaya, Yavatmal",Yavatmal,Maharashtra,,,,
161,1390,Amrapali Institute of Hotel Management,Haldwani,Uttarakhand,,,,
162,143,"Amrita College of Engineering and Technology, Nagercoil",Nagercoil,Tamil Nadu,,,,
163,1391,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,,,,
164,4500,Amrita Vishwa Vidyapeetham ,Coimbatore,Tamil Nadu,,,,
165,145,Amritsar College of Engineering & Technology,Amritsar,Punjab,,,,
166,146,Amrutha Institute of Engineering & Management Sciences,Bengaluru,Karnataka,,,,
167,1392,"Amrutvahini College of Engineering, Sangamner",Sangamner,Maharashtra,,,,
