,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
735,324,Dayananda Sagar Academy of Technology & Management Technical Campus,Bengaluru,Karnataka,,,,
736,2243,"Dayananda Sagar College of Arts, Science & Commerce College, Shavige Malleswara Hills",Bangalore,Karnataka,,,,
737,4209,Dayananda Sagar College of Dental Sciences,Bangalore,Karnataka,,,,
738,1497,Dayananda Sagar College of Engineering,Bengaluru,Karnataka,,,,
739,326,Dayananda Sagar University,Bengaluru,Karnataka,,,,
740,2244,"Deccan Education Societys Brihan Maharashtra College of Commerce, Pune",Pune,Maharashtra,,,,
741,1499,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur,Uttar Pradesh,,,,
742,2245,Deen Dayal Upadhyaya College,New Delhi,Delhi,,,,
743,21,Deenbandhu Chhotu Ram University of Science & Technology,Sonipat,Haryana,,,,
744,4762,Defence Institute of Advanced Technology,Pune,Maharashtra,,,,71.0
745,2246,"Degloor College, Degloor",Degloor,Maharashtra,,,,
746,2247,"Degree College Nala, Jamtara",JAMTARA,Jharkhand,,,,
747,2248,Degree College of Physical Education,Amravati,Maharashtra,,,,
748,2249,Delhi College of Arts & Commerce,South West,Delhi,,,,
749,1501,Delhi Institute of Advanced Studies,Delhi,Delhi,,,,
750,2250,Delhi School of Professional Studies and Research,Delhi,Delhi,,,,
751,4726,Delhi Technological University,New Delhi,Delhi,,,,35.0
752,2251,Dempo Charities Trust Dhempe College of Arts & Science,North Goa,Goa,,,,
753,2252,Dempo Charities Trust?s S.S. Dempo College of Commerce and Economics,Bambolim,Goa,,,,
754,4350,"Deoghar College, Deoghar",DEOGHAR,Jharkhand,,,,
755,2254,Deogiri College,Aurangabad,Maharashtra,,,,
756,1502,Deogiri Technical Campus for Engineering and Management Studies,Aurangabad,Maharashtra,,,,
757,1503,"Department of Management Sciences and Research, G.S. College of Commerce and Economics",Nagpur,Maharashtra,,,,
758,1504,Department of Management Studies and Research Centre BMS College of Engineering,Bengaluru,Karnataka,,,,
759,2255,Dergaon Kamal Dowerah College,Dergaon,Assam,,,,
760,331,Desh Bhagat University,Mandi Gobindgarh,Punjab,,,,
761,2256,Deshbandhu College,New Delhi,Delhi,,,,
762,2257,Deshbandhu College for Girls',Kolkata,West Bengal,,,,
763,2258,"Deshbhakta Anandrao Balwantrao Naik Arts and Science College,Yashwantnagar, Chikhali",Sangli,Maharashtra,,,,
764,2259,Deshbhakta Ratnappa Kumbhar College of Commerce,Dist. Kolhapur,Maharashtra,,,,
765,2260,"Dev Samaj College for Women, Firozpur",Firozpur,Punjab,,,,
766,2261,"Devamatha College, Kuravilangad",Kottayam,Kerala,,,,
767,2262,Devaswom Board College,Kottayam,Kerala,,,,
768,2263,Devchand College,Kolhapur,Maharashtra,,,,
769,4352,Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,,,,
770,4353,"Devi Sharvani Education Society`s V.M. Salgaocar College of Law, Miramar",Panaji,Goa,,,,
771,333,Dewan V S Institute of Engineering and Technology,Meerut,Uttar Pradesh,,,,
772,2265,Dhakuakhana College,Lakhimpur,Assam,,,,
773,1509,Dhanalakshmi Srinivasan College of Arts & Science for Women,Perambalur,Tamil Nadu,,,,
774,334,Dhanalakshmi Srinivasan College of Engineering,Coimbatore,Tamil Nadu,,,,
775,335,Dhanalakshmi Srinivasan College of Engineering and Technology,Mamallapuram,Tamil Nadu,,,,
776,2267,Dhananjayrao Gadgil College of Commerce,Satara,Maharashtra,,,,
777,336,Dhanekula Institute of Engineering & Technology,Vijayawada,Andhra Pradesh,,,,
778,1511,"Dhanwate National College, Congress Nagar",Nagpur,Maharashtra,,,,
779,2268,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthrai",Mayiladuthurai,Tamil Nadu,,,,
780,337,Dharmsinh Desai University,Nadiad,Gujarat,,,,
781,2269,Dhemaji College,Dhemaji,Assam,,,,
782,338,Dhirajlal Gandhi College of Technology,Salem,Tamil Nadu,,,,
783,4825,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat,,,,134.0
784,340,"Dhole Patil Education Society`s, Dhole Patil College of Engineering.",Pune,Maharashtra,,,,
785,2270,Dhote Bandhu Science College,Gondia,Maharashtra,,,,
786,2271,Dhrubachand Haldar College,Dakshin Barasat,West Bengal,,,,
787,2272,"Dibru College,Bairagimoth",Dibrugarh,Assam,,,,
788,341,Dibrugarh University Institute of Engineering and Technology,Dibrugarh,Assam,,,,
789,2273,Digambarrao Bindu Arts & Commerce College,Nanded,Maharashtra,,,,
790,2274,Digboi College,Tinsukia,Assam,,,,
791,2275,Digboi Mahila Mahavidyalaya,Tinsukia,Assam,,,,
792,2276,Dimoria College,Khetri,Assam,,,,
793,2277,Dinabandhu Andrews College,Kolkata,West Bengal,,,,
794,2278,"Dipshobha Sevabhavi Sanstha Khandali Late. Santukrao Khomne College of B.B.A. & B.C.A., Mastgad",Jalna,Maharashtra,,,,
795,2279,Dispur College,Guwahati,Assam,,,,
796,2280,Divekar College of Commerce,Karwar,Karnataka,,,,
797,2281,Divyansh College,GUNA,Madhya Pradesh,,,,
798,2282,"Dnyan Prabodhini Mandal`s Shree Mallikarjun College of Arts & Commerce, Delem Canacona",Canacona,Goa,,,,
799,2283,Dnyanprassarak Mandal`s College and Research Centre,North Goa,Goa,,,,
800,2284,"Don Bosco Arts & Science College, Angadikkadavu",Iritty,Kerala,,,,
801,2285,Don Bosco Arts and Science College(Co Ed.) Chennai,Chennai,Tamil Nadu,,,,
802,2286,Don Bosco College,Senapati,Manipur,,,,
803,2288,Don Bosco College (Co-Ed),Yelagiri,Tamil Nadu,,,,
804,343,"Don Bosco College of Engineering, Margao",South Goa,Goa,,,,
805,2289,"Don Bosco College, Itanagar",Itanagar,Arunachal Pradesh,,,,
806,2290,"Don Bosco College, Kurla(W)",Mumbai,Maharashtra,,,,
807,2291,"Don Bosco College, Sulthan Bathery","Sulthan Bathery, Wayanad",Kerala,,,,
808,344,"Don Bosco Institute of Technology, Bangalore",Bengaluru,Karnataka,,,,
809,2292,"Don Bosco Institute of Technology, Mumbai",Mumbai,Maharashtra,,,,
810,1513,Doon Business School,Dehradun,Uttarakhand,,,,
811,2293,Doranda College,Ranchi,Jharkhand,,,,
812,1514,"Dr Ambedkar Institute of Management Studies Research, Deekshabhoomi",Nagpur,Maharashtra,,,,
813,1789,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur",Jodhpur,Rajasthan,,,,
814,4354,Dr. A.P.J. Abdul Kalam University,Indore,Madhya Pradesh,,,,
815,2295,"Dr. Ambedkar College, Deekshabhoomi",Nagpur,Maharashtra,,,,
816,2296,Dr. Ambedkar Government Arts College,Chennai,Tamil Nadu,,,,
817,1516,Dr. Ambedkar Institute of Technology,Bengaluru,Karnataka,,,,
818,4355,Dr. Ambedkar Law College,Tirupati,Andhra Pradesh,,,,
819,4606,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,,,,85.0
820,4356,Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,,,,
821,350,Dr. B. R. Ambedkar Institute of Technology,South Andaman,Andaman and Nicobar Islands,,,,
822,4901,Dr. B.C. Roy Engineering Col,Bardhaman,West Bengal,,,,210.0
823,351,"Dr. B.C. Roy Engineering College, Durgapur",Bardhaman,West Bengal,,,,
824,2297,Dr. B.K.B. College,NAGAON,Assam,,,,
825,1517,Dr. B.R. Ambedkar University Delhi,Delhi,Delhi,,,,
826,2300,"Dr. BRR Government College, Jadcherla",JADCHERLA,Telangana,,,,
827,2298,Dr. Babasaheb Ambedkar Arts Commerce Science College,Chandrapur,Maharashtra,,,,
828,5305,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Aurangabad,Maharashtra,,,83.0,
829,352,Dr. Babasaheb Ambedkar Technological University,Raigarh,Maharashtra,,,,
830,2299,Dr. Bhanuben Mahendra Nanavati College of Home Science,Mumbai,Maharashtra,,,,
831,4949,Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School ,Pune,Maharashtra,,,,258.0
832,353,Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering,Pune,Maharashtra,,,,
833,354,Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering and Technology,Pune,Maharashtra,,,,
834,355,"Dr. D. Y. Patil Institute of Engineering, Management and Research",Pune,Maharashtra,,,,
835,1519,Dr. D. Y. Patil Institute of Management and Rsearch,Pune,Maharashtra,,,,
836,356,Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,,,,
837,4597,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,,,,76.0
838,2301,"Dr. D.Y.Patil Unitech Society Dr. D.Y.Patil Arts, Commerce and Science College",Pune,Maharashtra,,,,
839,2302,Dr. G. Y. Pathrikar College of Computer Science and Information Technology,Aurangabad,Maharashtra,,,,
840,2303,"Dr. Gafoor Memorial MES Mampad College, Mampad",Malappuram,Kerala,,,,
841,1520,Dr. Gaur Hari Singhania Institute of Management and Research,Kanpur Nagar,Uttar Pradesh,,,,
842,1521,"Dr. Harisingh Gour Vishwavidyalaya, Sagar",Sagar,Madhya Pradesh,,,,
843,4213,Dr. Harvansh Singh Judge Institute of Dental Sciences,Chandigarh,Chandigarh,,,,
844,1522,"Dr. I. T Business school , Jalalapur",Banur,Punjab,,,,
845,1524,Dr. K. V. Subba Reddy Institute of MCA,Kurnool,Andhra Pradesh,,,,
846,1523,Dr. K. V. Subba Reddy Institute of Management,Kurnool,Andhra Pradesh,,,,
847,357,"Dr. K.N. Modi Institute of Engineering and Technology, Modinagar, Ghaziabad",Ghaziabad,Uttar Pradesh,,,,
848,1526,"Dr. K.V.Subba Reddy Institute of Technology, Kurnool",Kurnool,Andhra Pradesh,,,,
849,2304,Dr. Kanailal Bhattacharya College,Ramrajatala,West Bengal,,,,
850,1527,Dr. L.B. College,Visakhapatnam,Andhra Pradesh,,,,
851,359,Dr. Lankapalli Bullayya College of Engineering,Visakhapatnam,Andhra Pradesh,,,,
852,5322,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,,,100.0,
853,360,Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu,,,,
854,2306,Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,,,,
855,361,Dr. N. G. P. Institute of Technology,Coimbatore,Tamil Nadu,,,,
856,4357,Dr. Panjabrao Deshmukh Law College,Amravati,Maharashtra,,,,
857,2307,"Dr. Pitambar Datt Barthwal Himalaya Government PG Degree College,Kotdwar",Kotdwara,Uttarakhand,,,,
858,2308,Dr. R.V. Arts and Science College,Coimbatore,Tamil Nadu,,,,
859,362,"Dr. Ram Manohar Lohia Awadh University, Faizabad",Faizabad,Uttar Pradesh,,,,
860,4358,"Dr. Ram Manohar Lohiya National Law University, Lucknow",Lucknow,Uttar Pradesh,,,,
861,2309,Dr. S N N Government Degree College Vedikhal,VEDIKHAL,Uttarakhand,,,,
862,363,"Dr. S. & S. S. Ghandhy Government Engineering College, Surat",Surat,Gujarat,,,,
863,1791,Dr. S. N. Medical College and Hospital,Jodhpur,Rajasthan,,,,
864,2310,Dr. S. N. S. Rajalakshmi College of Arts and Science,Coimbatore,Tamil Nadu,,,,
865,2311,Dr. S.R.K. Government Arts College,Puducherry,Pondicherry,,,,
866,364,Dr. Samuel George Institute of Engineering & Technology,Markapur,Andhra Pradesh,,,,
867,2312,Dr. Shashikant Raghunath Kuchekar of Pravara Rural Education Society's Women's College of Home Science and BCA,,Maharashtra,,,,
868,365,Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,Kolkata,West Bengal,,,,
869,366,Dr. T. Thimmaiah Institute of Technology,KGF,Karnataka,,,,
870,2313,Dr. Umayal Ramanathan College for Women,Sivaganga,Tamil Nadu,,,,
871,1529,Dr. V. R. Godhania College of Engineering & Technology,Porbandar,Gujarat,,,,
872,1792,"Dr. Vasantrao Pawar Medical College, Hospital & Research Centre, Nashik",Nashik,Maharashtra,,,,
873,1530,"Dr. Virendra Swarup Memorial Trust Group of Institutions, Unnao",Unnao,Uttar Pradesh,,,,
874,1531,Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,,,,
875,2314,"Dr.Babasaheb Ambedkar mahavidyalaya, Amravati",Amravati,Maharashtra,,,,
876,2315,"Dr.Lalireddy Hanimireddy Government Degree College, Mylavaram",Krishna,Andhra Pradesh,,,,
877,2316,Dr.V.S. Krishna Government Degree College,Visakhapatnam,Andhra Pradesh,,,,
878,2317,"Dr.Zakir Hussain College, Ilayangudi",Ilayangudi-,Tamil Nadu,,,,
879,370,Dream Institute of Technology,Kolkata,West Bengal,,,,
880,372,Dronacharya College of Engineering,Gurgaon,Haryana,,,,
881,2319,Dronacharya G.C,Gurgaon,Haryana,,,,
882,373,Dronacharya Group of Institutions,Greater Noida,Uttar Pradesh,,,,
883,4214,Drs. Sudha and Nageswara Rao Siddhartha Institute of Dental Sciences,Vijayawada,Andhra Pradesh,,,,
884,1532,Durgadevi Saraf Institute of Management Studies,Mumbai,Maharashtra,,,,
885,2320,Dyal Singh College,New Delhi,Delhi,,,,
886,1793,"E S COLLEGE OF NURSING, VILLUPURAM",Villupuram,Tamil Nadu,,,,
887,1794,"E S I, Joka",KOLKATA - 700104,West Bengal,,,,
888,4950,E.G.S. Pillay Engin,Nagapattinam,Tamil Nadu,,,,259.0
889,374,E.G.S. Pillay Engineering College,Nagapattinam,Tamil Nadu,,,,
890,2321,E.M.G. Yadava Women'S College,Madurai,Tamil Nadu,,,,
891,1796,"ESI MEDICAL COLLEGE & ESI-PGIMSR, CHENNAI",Chennai,Tamil Nadu,,,,
892,4215,ESIC Dental College,Gulbarga,Karnataka,,,,
893,1797,ESIC MEDICAL COLLEGE AND HOSPITAL,Faridabad,Haryana,,,,
894,1798,"ESIC MEDICAL COLLEGE AND HOSPITAL, SEDAM ROAD GULBARGA",KALABURAGI,Karnataka,,,,
895,1799,"ESIC MEDICAL COLLEGE AND POST GRADUATE INSTITUTE OF MEDICAL SCINECES AND RESEARCH, Bangalore",Bangalore,Karnataka,,,,
896,2326,"EU's Dr. Annasaheb G. D. Bendale Mahila Mahavidyalaya, Jalgaon",Jalgaon,Maharashtra,,,,
897,375,East West Institute of Technology,Bengaluru,Karnataka,,,,
898,4872,Easwari Engineering College,Chennai,Tamil Nadu,,,,181.0
899,377,Ellenki College of Engineering & Technology,Medak,Telangana,,,,
900,2322,Elphinstone College Fort Mumbai,Mumbai,Maharashtra,,,,
901,2323,"Emea Arts & Science College, Kondotty",Malappuram,Kerala,,,,
902,378,"Engineering College, Ajmer",Ajmer,Rajasthan,,,,
903,1537,Entrepreneurship Development Institute of India,Bhat,Gujarat,,,,
904,1538,Er. Perumal Manimekalai College of Engineering,Krishnagiri,Tamil Nadu,,,,
905,1795,"Era's Lucknow Medical College & Hospital, Lucknow",Lucknow,Uttar Pradesh,,,,
906,2324,Erode Arts and Science College,Erode,Tamil Nadu,,,,
907,1539,Erode Sengunthar Engineering College,Erode,Tamil Nadu,,,,
908,381,"Eshan College of Engineering, Mathura",Mathura,Uttar Pradesh,,,,
909,382,Eswar College of Engineering,Guntur,Andhra Pradesh,,,,
910,2325,Ethiraj College for Women,Chennai,Tamil Nadu,,,,
911,383,"Everest Education Society Sanchalit, College of Engineering",Aurangabad,Maharashtra,,,,
912,2327,Ewing Christian College,Allahabad,Uttar Pradesh,,,,
913,384,Excel Engineering College,Namakkal,Tamil Nadu,,,,
914,2328,"F.G.M. Government College, Adampur",Hisar,Haryana,,,,
915,1542,FORE SCHOOL OF MANAGEMENT,New Delhi,Delhi,,,,
916,1543,FORTUNE INSTITUTE OF INTERNATIONAL BUSINESS,Delhi,Delhi,,,,
917,1545,FOSTIIMA Business School,Dwarka,Delhi,,,,
918,22,"Faculty of Architecture and Planning, Dr APJ Abbdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,,,,
919,4359,Fairfield Institute of Management & Technology,NEW DELHI,Delhi,,,,
920,2329,"Farook College, Kozhikkode",Kozhikode,Kerala,,,,
921,4217,Farooqia Dental College & Hospital,Mysore,Karnataka,,,,
922,2330,Fatima College,Madurai,Tamil Nadu,,,,
923,2331,"Fatima Mata National College, Kollam",Kollam,Kerala,,,,
924,2332,Fazl Ali College,Mokokchung,Nagaland,,,,
925,1541,Federal Institute of Science and Technology (FISAT),Ernakulam,Kerala,,,,
926,2333,Ferugusson College(Autonomous),Pune,Maharashtra,,,,
927,386,Finolex Academy of Management and Technology,Ratnagiri,Maharashtra,,,,
928,5081,Fore School of Management,,,,,,60.0
929,1544,Foster Development School of Management,Aurangabad,Maharashtra,,,,
930,2334,"Fr. Agnel College of Arts & Commerce, Pilar",North Goa,Goa,,,,
931,387,Fr. C. Rodrigues Institute of Technology,Navi Mumbai,Maharashtra,,,,
932,388,Fr. Conceicao Rodrigues College of Engineering,Mumbai,Maharashtra,,,,
933,1800,Fr. Muller Medical College,Mangalore,Karnataka,,,,
934,1546,Francis Xavier Engineering College,Tirunelveli,Tamil Nadu,,,,
935,2335,Furkating College,Golaghat,Assam,,,,
936,1547,Future Institute of Engineering and Management,Kolkata,West Bengal,,,,
937,391,Future Institute of Technology,Kolkata,West Bengal,,,,
938,1548,"G AND R INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BHULANDSHAR",BULANDHAHR,Uttar Pradesh,,,,
939,2336,G D C Muwani,PITHORAGARH,Uttarakhand,,,,
940,392,G H Patel College of Engineering & Technology,Vallabh Vidyanagar,Gujarat,,,,
941,1801,"G M E R S MEDICAL COLLEGE, AHMEDABAD",Ahmadabad,Gujarat,,,,
942,1802,"G M E R S MEDICAL COLLEGE, GANDHINAGAR",Gandhinagar,Gujarat,,,,
943,393,"G M Institute of Technology, Davangere",Davangere,Karnataka,,,,
944,1549,"G S S S Institute of Engineering & Technology for Women, Mysore",Mysuru,Karnataka,,,,
945,2337,G S Tompe Arts Commerce and Science College,Chandur Bazar,Maharashtra,,,,
946,2338,G. A. C. for Men,Chennai,Tamil Nadu,,,,
947,4951,G. B. Pant Government Engin,Delhi,Delhi,,,,260.0
948,395,G. B. Pant Government Engineering College,Delhi,Delhi,,,,
949,2339,G. C. for Women,Mahendragarh,Haryana,,,,
950,396,G. D. Goenka University,Gurgaon,Haryana,,,,
951,2340,G. G. D. S. D. College,Hoshiarpur,Punjab,,,,
952,4854,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra,,,,163.0
953,1551,G. H. Raisoni Institute of Business Management,Jalgaon,Maharashtra,,,,
954,399,G. I. D. C. Degree Enginering College,Navsari,Gujarat,,,,
955,400,G. K. M. College of Engineering and Technology,Chennai,Tamil Nadu,,,,
956,1552,G. L. A. University,Mathura,Uttar Pradesh,,,,
957,1553,G. L. Bajaj Institute of Management and Research,Greater Noida,Uttar Pradesh,,,,
958,402,G. L. Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,,,,
959,403,G. Madegowda Institute of Technology,Mandya,Karnataka,,,,
960,404,G. N. A. University,Kapurthala,Punjab,,,,
961,1554,G. N. V. S. Institute of Managment,Mumbai,Maharashtra,,,,
962,4952,G. Narayanamma Institute of Technology & Sci,Hyderabad,Telangana,,,,261.0
963,405,G. Narayanamma Institute of Technology & Science for Women,Hyderabad,Telangana,,,,
964,4953,G. Pulla Reddy Engin,Kurnool,Andhra Pradesh,,,,262.0
965,406,G. Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,,,,
966,407,G. Pullaiah College of Engineering and Technology,Kurnool,Andhra Pradesh,,,,
967,2341,G. S. College of Commerce and Economics,"Near Civil Lines Thana, Jabalpur",Madhya Pradesh,,,,
968,2342,"G. S. Science, Arts and Commerce College",Khamgaon,Maharashtra,,,,
969,2343,G. Venkataswamy Naidu College,Kovilpatti,Tamil Nadu,,,,
970,2344,G.C. Gohana (Sonepat),Gohana,Haryana,,,,
971,2345,"G.C. Jain Commerce College, Chaibasa",CHAIBASA,Jharkhand,,,,
972,2346,"G.C. Meham, Rohtak",Rohtak,Haryana,,,,
973,2347,"G.P. Pant Memorial Government College Rampur Bhushar, Distt Shimla",Shimla,Himachal Pradesh,,,,
974,2348,G.P. Women's College,Imphal West,Manipur,,,,
975,2349,G.T.N. Arts College,Dindigul,Tamil Nadu,,,,
976,2350,G.T.R.M. Government Degree College,Kurnool,Andhra Pradesh,,,,
977,2351,G.V.M. Girls College,Sonipat,Haryana,,,,
978,2352,G.V.S.M. Government Degree College,Ulavapadu,Andhra Pradesh,,,,
979,1804,"GEMS Medical College, Srikakulam",Srikakulam,Andhra Pradesh,,,,
980,425,GF's Godavari College of Engineering,Jalgaon,Maharashtra,,,,
981,1565,"GHANSHYAM BINANI ACADEMY OF MANAGEMENT SCIENCES, MIRZAPUR",Mirzapur,Uttar Pradesh,,,,
982,1805,"GMERS Medical College, Gotri, Vadodara",Vadodara,Gujarat,,,,
983,434,GMR Institute of Technology,Rajam,Andhra Pradesh,,,,
984,1571,GOA INSTITUTE OF MANAGEMENT,Sanquelim,Goa,,,,
985,5057,GOA Institute of Management,,,,,,36.0
986,1572,GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON,Jalgaon,Maharashtra,,,,
987,1807,"GOVERNMENT CHENGALPATTU MEDICAL COLLEGE & HOSPITAL, KANCHEEPURAM",Chengalpattu,Tamil Nadu,,,,
988,4220,GOVERNMENT DENTAL COLLEGE,Thiruvananthapuram,Kerala,,,,
989,2757,"GOVT. COLLEGE FOR WOMEN, JASSAUR KHERI",Bahadurgarh,Haryana,,,,
990,1577,GRAPHIC ERA HILL UNIVERSITY,Dehradun,Uttarakhand,,,,
991,1581,GRT Institute of Engineering and Technology,Thiruvallur,Tamil Nadu,,,,
992,4225,GURU NANAK INSTITUTE OF DENTAL SCIENCES & RESEARCH,Kolkata-,West Bengal,,,,
993,2773,GVRS Government Degree College,Kurnool,Andhra Pradesh,,,,
994,408,Galgotias College of Engineering & Technology,Greater Noida,Uttar Pradesh,,,,
995,1555,Galgotias Institute of Management & Technology,Greater Noida,Uttar Pradesh,,,,
996,4361,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,,,,
997,410,Gandhi Engieering College (GEC),Bhubaneswar,Odisha,,,,
998,411,"Gandhi Institute for Education and Technology (GIET), Bhubaneswar",Bhubaneswar,Odisha,,,,
999,4902,Gandhi Institute for Technological Aavancement (GITA,Bhubaneswar,Odisha,,,,211.0
1000,1557,"Gandhi Institute for Technological Aavancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,,,,
1001,412,"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,,,,
1002,4954,Gandhi Institute of Engineering ,Gunupur,Odisha,,,,263.0
1003,413,Gandhi Institute of Engineering and Technology,Gunupur,Odisha,,,,
1004,1558,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,,,,
1005,5314,Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,,,92.0,
1006,2353,Gandhi Memorial National College,Ambala,Haryana,,,,
1007,2354,"Gandhinagar Charitable Trust Sanchalit Samarpan Arts and Commerce College, Gandhinagar",Gandhinagar,Gujarat,,,,
1008,415,Ganga Institute of Technology & Management,Jhajjar,Haryana,,,,
1009,1560,Gangadhar Meher University,Sambalpur,Odisha,,,,
1010,416,Ganpat University,"Ganpat Vidyanagar, Mehsana",Gujarat,,,,
1011,2356,Ganpatrao Arwade College of Commerce,Sangli,Maharashtra,,,,
1012,2357,Gargaon College,Sivasagar,Assam,,,,
1013,2358,Gargi College,Delhi,Delhi,,,,
1014,417,Gargi Memorial Institute of Technology Campus,Kolkata,West Bengal,,,,
1015,418,Gates Institute of Technology,Gooty,Andhra Pradesh,,,,
1016,5259,Gauhati University,Guwahati,Assam,,,36.0,
1017,1562,Gautam Buddha University,Gautam Buddha Nagar,Uttar Pradesh,,,,
1018,2359,Gayatri Degree College,Seethanagaram,Andhra Pradesh,,,,
1019,2360,"Gayatri Degree College, Kota road",Vizianagaram,Andhra Pradesh,,,,
1020,2361,Gayatri Mahila Degree College,Parvatipuram,Andhra Pradesh,,,,
1021,4955,Gayatri Vidya Parishad College ,Visakhapatnam,Andhra Pradesh,,,,264.0
1022,2362,Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),Visakhapatnam,Andhra Pradesh,,,,
1023,420,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh,,,,
1024,421,Gayatri Vidya Parishad College of Engineering for Women,Visakhapatnam,Andhra Pradesh,,,,
1025,4364,Geeta Institute of Law,Panipat,Haryana,,,,
1026,422,Geetanjali College of Engineering and Technology,Medchal Malkajgiri,Telangana,,,,
1027,423,Geetanjali Institute of Science and Technology,Nellore,Andhra Pradesh,,,,
1028,424,Geetanjali Institute of Technical Studies,Udaipur,Rajasthan,,,,
1029,4218,Geetanjali University,Udaipur,Rajasthan,,,,
1030,2363,"General Shivdev Singh Diwan Gurbachan Singh Khalsa College, Patiala",Patiala,Punjab,,,,
1031,426,Gharda Foundations Gharda Institute of Technology,Ratnagiri,Maharashtra,,,,
1032,2364,"Ghatshila College, Ghatshila",GHATSILA,Jharkhand,,,,
1033,1566,Gian Jyoti Institute of Management and Technology,Mohali,Punjab,,,,
1034,427,"Giani Zail Singh Campus College of Engineering & Technology, Bathinda",Bathinda,Punjab,,,,
1035,2365,Girdari Lal Dogra Memorial Degree College,Hiranagar,Jammu and Kashmir,,,,
1036,1567,Girijananda Chowdhury Institute of Management & Technology,Kamrup,Assam,,,,
1037,429,Girijananda Chowdhury Institute of Management and Technology,Tezpur,Assam,,,,
1038,2366,Girraj Government College,Nizamabad,Telangana,,,,
1039,2367,Gitai Institute of Management,Aurangabad,Maharashtra,,,,
1040,4684,Gitam Dental College & Hospital,Vishakhapatnam,Andhra Pradesh,,,,33.0
1041,1568,Global Academy of Technology,Bengaluru,Karnataka,,,,
1042,431,Global Institute of Engineering and Technology,Vellore,Tamil Nadu,,,,
1043,432,"Global Nature Care Group Sangathan Institution, Jabalpur",Jabalpur,Madhya Pradesh,,,,
1044,433,Global Research Institute of Management & Technology,Yamuna Nagar,Haryana,,,,
1045,1570,Globsyn Business School,24 Paraganas (S),West Bengal,,,,
1046,435,Gnanamani College of Technology,Namakkal,Tamil Nadu,,,,
1047,436,Goa College of Engineering (Government of Goa),Ponda,Goa,,,,
1048,2368,Goa College of Home Science Campal Panaji,Panaji,Goa,,,,
1049,2369,Goa College of Music Altinho Panaji,Panaji,Goa,,,,
1050,1806,Goa Medical College Bambolim,North Goa,Goa,,,,
1051,2370,Goa Vidyaprasarak Mandals Gopal Govind Poy Raiturcar College of Commerce and Economics,North Goa,Goa,,,,
1052,2371,Goalpara College,Goalpara,Assam,,,,
1053,2372,Gobi Arts & Science College,Erode,Tamil Nadu,,,,
1054,4903,Godavari Institute of Engineerin,Rajahmundry,Andhra Pradesh,,,,212.0
1055,437,Godavari Institute of Engineering & Technology,Rajahmundry,Andhra Pradesh,,,,
1056,2373,Godutai Dodappa Appa Arts & Commerce College for Women,Gulbarga,Karnataka,,,,
1057,4956,Gogte Institute of Techn,Belagavi,Karnataka,,,,265.0
1058,438,"Gogte Institute of Technology, Belgaum",Belagavi,Karnataka,,,,
1059,1573,Gojan School of Business and Technology,Chennai,Tamil Nadu,,,,
1060,440,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,,,,
1061,441,"Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies and Research",Nashik,Maharashtra,,,,
