,name,city,state,nirf_rank,ranked,rank,nirfRank
580,"Islamic University of Science & Technology, Pulwama",Pulwama,Jammu and Kashmir,,nan,nan,nan
581,ITM University,Gwalior,Madhya Pradesh,,nan,nan,nan
582,"ITM Vocational University, Vadodara",Vadodara,Gujarat,,nan,nan,nan
583,"J. C. Bose University of Science and Technology, YMCA",Faridabad,Haryana,,nan,nan,nan
584,J. D. College of Engineering,Nagpur,Maharashtra,,nan,nan,nan
585,J. K. Lakshmipat University,Jaipur,Rajasthan,,nan,nan,nan
586,J. N. N. College of Engineering,Shimoga,Karnataka,,nan,nan,nan
587,J. N. N. Institute of Engineering,Thiruvallur,Tamil Nadu,,nan,nan,nan
588,J.B. Institute of Technology,Dehradun,Uttarakhand,,nan,nan,nan
589,Jabalpur Engineering college,Jabalpur,Madhya Pradesh,,nan,nan,nan
590,Jadavpur University,Kolkata,West Bengal,,nan,nan,nan
591,"Jagran Lakecity University, Bhopal",Bhopal,Madhya Pradesh,,nan,nan,nan
592,Jai Narain College of Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
593,Jaibharath College of Management & Engineering Technology,Perumbavoor,Kerala,,nan,nan,nan
594,"Jain College of Engineering, Belgaum",Belgaum,Karnataka,,nan,nan,nan
595,"Jain University, Bangalore",Bengluru,Karnataka,,nan,nan,nan
596,"Jaipur Engineering College & Research Center, Jaipur",Jaipur,Rajasthan,,nan,nan,nan
597,Jalpaiguri Government Engineering College,Jalpaiguri,West Bengal,,nan,nan,nan
598,Jamia Hamdard,New Delhi,Delhi,,nan,nan,nan
599,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,,nan,nan,nan
600,"Jawaharlal College of Engineering & Technology, Mangalam",Palakkad,Kerala,,nan,nan,nan
601,Jawaharlal Darda Institute of Engineering & Technology,Yavatmal,Maharashtra,,nan,nan,nan
602,Jawaharlal Nehru Government Engineering College,Mandi,Himachal Pradesh,,nan,nan,nan
603,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,,nan,nan,nan
604,Jawaharlal Nehru Technological University,Hyderabad,Telangana,,nan,nan,nan
605,Jawaharlal Nehru University,New Delhi,Delhi,,nan,nan,nan
606,Jaya Institute of Technology,Thiruvallur,Tamil Nadu,,nan,nan,nan
607,Jayawant College of Engineering & Management,karad,Maharashtra,,nan,nan,nan
608,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,,nan,nan,nan
609,Jaypee University of Engineering & Technology,Guna,Madhya Pradesh,,nan,nan,nan
610,Jaypee University of Information Technology,Solan,Himachal Pradesh,,nan,nan,nan
611,JB Institute of Engineering & Technology,Rangareddy,Telangana,,nan,nan,nan
612,JCT College of Engineering and Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
613,JECRC University,Jaipur,Rajasthan,,nan,nan,nan
614,Jeppiaar Institute of Technology,Kanchipuram,Tamil Nadu,,nan,nan,nan
615,Jerusalem College of Engineering,Chennai,Tamil Nadu,,nan,nan,nan
616,Jhulelal Institute of Technology,Nagpur,Maharashtra,,nan,nan,nan
617,JIS College of Engineering,Kalyani,West Bengal,,nan,nan,nan
618,JIS University,Kolkata,West Bengal,,nan,nan,nan
619,JKK Munirajah College of Technology,ERODE,Tamil Nadu,,nan,nan,nan
620,JNAFAU School of Planning and Architecture,Hyderabad,Telangana,,nan,nan,nan
621,JNTUA College of Engineering,Pulivendula,Andhra Pradesh,,nan,nan,nan
622,JNTUA College of Engineering,Anantapur,Andhra Pradesh,,nan,nan,nan
623,"JNTUA College of Engineering, Kalikiri",Chittoor,Andhra Pradesh,,nan,nan,nan
624,Joginpally B.R Engineering College,Hyderabad,Telangana,,nan,nan,nan
625,JSPM`S Rajarshi Shahu College of Engineering,Pune,Maharashtra,,nan,nan,nan
626,JSS Academy of Technical Education,Bengaluru,Karnataka,,nan,nan,nan
627,"Jss Academy Of Technical Education, Noida",Gautam Budh Nagar,Uttar Pradesh,,nan,nan,nan
628,JSS Science and Technology University,Mysuru,Karnataka,,nan,nan,nan
629,Jyothi Engineering College,Thrissur,Kerala,,nan,nan,nan
630,Jyothy Institute of Technology,Bengaluru,Karnataka,,nan,nan,nan
631,K J College of Engineering & Management Research,Pune,Maharashtra,,nan,nan,nan
632,"K S Institute of Technology, Bangalore",Bengaluru,Karnataka,,nan,nan,nan
633,K. G. Reddy College of Engineering & Technology,Rangareddy,Telangana,,nan,nan,nan
634,K. J. S. Educational Institute`s Trinity College of Engineering and Research,Pune,Maharashtra,,nan,nan,nan
635,K. J. Somaiya College of Engineering,Mumbai,Maharashtra,,nan,nan,nan
636,K. J. Somaiya Institute of Engineering & Information Technology,Mumbai,Maharashtra,,nan,nan,nan
637,K. K. Wagh Institute Of Engineering Education & Research,Nashik,Maharashtra,,nan,nan,nan
638,K. L. N. College of Engineering,Sivaganga,Tamil Nadu,,nan,nan,nan
639,K. Ramakrishnan College of Engineering,Samayapuram,Tamil Nadu,,nan,nan,nan
640,K. Ramakrishnan College of Technology,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
641,K. S. R. College of Engineering,Tiruchengode,Tamil Nadu,,nan,nan,nan
642,K.C. College of Engineering and Information Technology,Nawanshahr,Punjab,,nan,nan,nan
643,K.C. Education and Socail Welfare Society Group of Research & Professional Institutes,Una,Himachal Pradesh,,nan,nan,nan
644,K.L.E. Institute of Technology,Hubballi,Karnataka,,nan,nan,nan
645,K.S. Rangasamy College of Technology,Tiruchengode,Tamil Nadu,,nan,nan,nan
646,K.S. School of Engineering and Management,Bengaluru,Karnataka,,nan,nan,nan
647,Kakatiya Institute of Technology & Science,Warangal,Telangana,,nan,nan,nan
648,Kakatiya University,Hanumakonda,Telangana,,nan,nan,nan
649,Kalaignar Karunanidhi Institute of Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
650,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,,nan,nan,nan
651,Kalinga Institute of Industrial Technology,BHUBANESWAR,Odisha,,nan,nan,nan
652,Kallam Haranadhareddy Institute of Technology,Guntur,Andhra Pradesh,,nan,nan,nan
653,Kamala Institute of Technology & Science,Karimnagar,Telangana,,nan,nan,nan
654,Kamaraj College of Engineering & Technology,Madurai,Tamil Nadu,,nan,nan,nan
655,Kandula Lakshumma Memorial College of Engineering for Women,Kadapa,Andhra Pradesh,,nan,nan,nan
656,"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan",Nagpur,Maharashtra,,nan,nan,nan
657,Karmaveer Bhaurao Patil College of Engineering,Satara,Maharashtra,,nan,nan,nan
658,Karpaga Vinayaga College of Engineering and Technology,Chengalpet,Tamil Nadu,,nan,nan,nan
659,Karpagam College of Engineering,Coimbatore,Tamil Nadu,,nan,nan,nan
660,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,,nan,nan,nan
661,Kasegaon Education Society`s Rajarambapu Institute of Technology,Islampur,Maharashtra,,nan,nan,nan
662,Kashi Institute of Technology,Varanasi,Uttar Pradesh,,nan,nan,nan
663,Kavikulguru Institute of Technology and Science,Ramtek,Maharashtra,,nan,nan,nan
664,KCG College of Technology,Chennai,Tamil Nadu,,nan,nan,nan
665,Keshav Memorial Institute of Technology,Hyderabad,Telangana,,nan,nan,nan
666,KGISL Institute of Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
667,Khammam Institute of Technology & Science,khammam,Telangana,,nan,nan,nan
668,"Khandesh College Education Society?s College of Engineering and Management, Jalgaon",Jalgaon,Maharashtra,,nan,nan,nan
669,KIET Group of Institutions,Ghaziabad,Uttar Pradesh,,nan,nan,nan
670,Kings College of Engineering,Pudukkottai,Tamil Nadu,,nan,nan,nan
671,Kings Engineering College,Sriperumbudur,Tamil Nadu,,nan,nan,nan
672,KIPM - College of Engineering and Technology,Gorakhpur,Uttar Pradesh,,nan,nan,nan
673,KKR & KSR Institute of Technology & Sciences,Vinjanampadu,Andhra Pradesh,,nan,nan,nan
674,KLE Technological University,Dharwad,Karnataka,,nan,nan,nan
675,"KLS Vishwanathrao Deshpande Institute of Technology, Haliyal",Haliyal,Karnataka,,nan,nan,nan
676,KMEA Engineering College,Ernakulam,Kerala,,nan,nan,nan
677,Knowledge Institute of Technology,Salem,Tamil Nadu,,nan,nan,nan
678,Kolhapur Institute of Technology`s College of Engineering (Autonomous),Kolhapur,Maharashtra,,nan,nan,nan
679,Kommuri Pratap Reddy Institute of Technology,Hyderabad,Telangana,,nan,nan,nan
680,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,,nan,nan,nan
681,Kongu Engineering College,Perundurai,Tamil Nadu,,nan,nan,nan
682,Kongunadu College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
683,KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
684,"Krishna Engineering College, Ghaziabad",Ghaziabad,Uttar Pradesh,,nan,nan,nan
685,Krishnaswamy College of Engineering,Cuddalore,Tamil Nadu,,nan,nan,nan
686,"KSR Institute for Engineering and Technology, Namakkal",Namakkal,Tamil Nadu,,nan,nan,nan
687,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
688,Kunwar Satyavira College of Engineering and Management,Bijnor,Uttar Pradesh,,nan,nan,nan
689,Kuppam Engineering College,Kuppam,Andhra Pradesh,,nan,nan,nan
690,Kurukshetra University,Kurukshetra,Haryana,,nan,nan,nan
691,"L.D.College of Engineering, Ahmedabad",Ahmedabad,Gujarat,,nan,nan,nan
692,L.J.Institue of Engineering and Technology (SFI) - Ahmedabad,Ahmadabad,Gujarat,,nan,nan,nan
693,LNCT University,Bhopal,Madhya Pradesh,,nan,nan,nan
694,Lakireddy Bali Reddy College of Engineering,Mylavaram,Andhra Pradesh,,nan,nan,nan
695,Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
696,Lakshmi Narain College of Technology & Science,Bhopal,Madhya Pradesh,,nan,nan,nan
697,Lakshmi Narain College of Technology Excellence,Bhopal,Madhya Pradesh,,nan,nan,nan
698,"Laxmi Institute of Technology, Valsad",Valsad,Gujarat,,nan,nan,nan
699,Laxminarayan Institute of Technology,Nagpur,Maharashtra,,nan,nan,nan
700,LDC Institute of Technical Studies,Soraon Allahabad,Uttar Pradesh,,nan,nan,nan
701,Lendi Institute of Engineering & Technology,Vizianagaram,Andhra Pradesh,,nan,nan,nan
702,Lingaya`s Vidyapeeth,Faridabad,Haryana,,nan,nan,nan
703,Lingayas Institute of Management and Technology,Vijayawada,Andhra Pradesh,,nan,nan,nan
704,Lords Institute of Engineering & Technology,Hyderabad,Telangana,,nan,nan,nan
705,Lourdes Matha College of Science and Technology,Trivandrum,Kerala,,nan,nan,nan
706,Lovely Professional University,Phagwara,Punjab,,nan,nan,nan
707,Loyola Institute of Technology,Chennai,Tamil Nadu,,nan,nan,nan
708,Loyola Institute of Technology and Science,Nagercoil,Tamil Nadu,,nan,nan,nan
709,Loyola-ICAM College of Engineering and Technology,Chennai,Tamil Nadu,,nan,nan,nan
710,Lukhdhirji Engineering College,Morbi,Gujarat,,nan,nan,nan
711,M. A. M. College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
712,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,,nan,nan,nan
713,M. I. E. T. Engineering College,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
714,M. Kumarasamy College of Engineering,Karur,Tamil Nadu,,nan,nan,nan
715,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,,nan,nan,nan
716,"M.G.M`S College of Engineering, Nanded",Nanded,Maharashtra,,nan,nan,nan
717,"M.J.R. College of Engineering & Technology, Pulicherla",Chittoor,Andhra Pradesh,,nan,nan,nan
718,"M.S. Bidwe College of Engineering, Latur",Latur,Maharashtra,,nan,nan,nan
719,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,,nan,nan,nan
720,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,,nan,nan,nan
721,Madanapalle Institute of Technology & Science,Madanapalle,Andhra Pradesh,,nan,nan,nan
722,"Madhav Institute of Technology and Science, Gwalior",Gwalior,Madhya Pradesh,,nan,nan,nan
723,Madhuben and Bhanubhai Patel Institute of Technology,New Vallabh Vidyanagar,Gujarat,,nan,nan,nan
724,Maharaj Vijayaram Gajapathi Raj College of Engineering,Vizianagaram,Andhra Pradesh,,nan,nan,nan
725,Maharaja Agrasen Institute of Technology,Delhi,Delhi,,nan,nan,nan
726,"Maharaja Institute of Technology, Mysore",Mandya,Karnataka,,nan,nan,nan
727,Maharaja Ranjit Singh State Technical University,Bathinda,Punjab,,nan,nan,nan
728,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,,nan,nan,nan
729,Maharaja Surajmal Institute of Technology,New Delhi,Delhi,,nan,nan,nan
730,Maharishi Markandeshwar,Ambala,Haryana,,nan,nan,nan
731,"Maharshi Dayanand University, Rohtak",Rohtak,Haryana,,nan,nan,nan
732,Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,Pune,Maharashtra,,nan,nan,nan
733,"Mahatma Education Society's, Pillai HOC College of Engineering and technology",Raigarh,Maharashtra,,nan,nan,nan
734,Mahatma Gandhi Institute of Technology,Hyderabad,Telangana,,nan,nan,nan
735,Mahatma Gandhi Mission`s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra,,nan,nan,nan
736,Mahaveer Institute of Science &Technology,Hyderabad,Telangana,,nan,nan,nan
737,Mahendra College of Engineering,Salem,Tamil Nadu,,nan,nan,nan
738,Mahendra Engineering College,Namakkal,Tamil Nadu,,nan,nan,nan
739,Mahendra Institute of Technology,Namakkal,Tamil Nadu,,nan,nan,nan
740,Mahindra University,Hyderabad,Telangana,,nan,nan,nan
741,Mailam Engineering College,Viluppuram,Tamil Nadu,,nan,nan,nan
742,Malaviya National Institute of Technology,Jaipur,Rajasthan,,nan,nan,nan
743,Malla Reddy College of Engineering and Technology (Autonomous),Secunderabad,Telangana,,nan,nan,nan
744,Malla Reddy Engineering College,Hyderabad,Telangana,,nan,nan,nan
745,Malla Reddy Engineering College for Women,Hyderabad,Telangana,,nan,nan,nan
746,Malla Reddy Institute of Engineering and Technology,Secunderabad,Telangana,,nan,nan,nan
747,Malla Reddy Institute of Technology & Science,Secunderabad,Telangana,,nan,nan,nan
748,Mallabhum Institute of Technology,Bankura,West Bengal,,nan,nan,nan
749,"Malnad College of Engineering, Hassan",Hassan,Karnataka,,nan,nan,nan
750,Manakulavinayagar Institute of Technology,Puducherry,Pondicherry,,nan,nan,nan
751,Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,,nan,nan,nan
752,Manav Rachna University,Faridabad,Haryana,,nan,nan,nan
753,Mandava Institute of Engineering and Technology,Jaggaiahpeta,Andhra Pradesh,,nan,nan,nan
754,Mangalam College of Engineering,Kottayam,Kerala,,nan,nan,nan
755,"Mangalmay Institute of Engineering and Technology, Greater Noida",Greater Noida,Uttar Pradesh,,nan,nan,nan
756,Mangalore Institute of Technology & Engineering,Mangaluru,Karnataka,,nan,nan,nan
757,Manipal Institute of Technology,Manipal,Karnataka,,nan,nan,nan
758,"Manipal University, Jaipur",Jaipur,Rajasthan,,nan,nan,nan
759,"Mar Athanasius College of Engineering, Ernakulam",Ernakulam,Kerala,,nan,nan,nan
760,Mar Baselios Christian College of Engineering & Technology,Peermade,Kerala,,nan,nan,nan
761,Mar Baselios College of Engineering and Technology,Thiruvananthapuram,Kerala,,nan,nan,nan
762,Mar Baselios Institute of Technology and Science,Kothamangalam,Kerala,,nan,nan,nan
763,Maratha Vidya Prasarak Samak`s Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering,Nashik,Maharashtra,,nan,nan,nan
764,Marathwada Institute of Technology,Aurangabad,Maharashtra,,nan,nan,nan
765,Marathwada Mitra Mandal College of Engineering Pune,Pune,Maharashtra,,nan,nan,nan
766,Marathwada Mitra Mandal`s Institute of Technology,Pune,Maharashtra,,nan,nan,nan
767,Marian Engineering College,Thiruvananthapuram,Kerala,,nan,nan,nan
768,Marri Laxman Reddy Institute of Technology and Management,Hyderabad,Telangana,,nan,nan,nan
769,Marwadi University,Rajkot,Gujarat,,nan,nan,nan
770,"Matoshri Education Society`s Matoshri College of Engineering & Research Centre, Nashik",Nashik,Maharashtra,,nan,nan,nan
771,Matrusri Enginering College,Hyderabad,Telangana,,nan,nan,nan
772,MATS University,Raipur,Chhattisgarh,,nan,nan,nan
773,"Matsyodari Shikshan Sanstha`s College of Engineering and Technology, Jalna",Jalna,Maharashtra,,nan,nan,nan
774,Maulana Abul Kalam Azad University of Technology,Nadia,West Bengal,,nan,nan,nan
775,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
776,"Mauli Group of Institutions, College of Engineering and Technology",Shegaon,Maharashtra,,nan,nan,nan
777,MCKV Institute of Engineering,Howrah,West Bengal,,nan,nan,nan
778,Medi-Caps University,Indore,Madhya Pradesh,,nan,nan,nan
779,Meenakshi Sundararajan Engineering College,Chennai,Tamil Nadu,,nan,nan,nan
780,Meerut Institute of Engineering & Technology,Meerut,Uttar Pradesh,,nan,nan,nan
781,"Meerut Institute Of Technology, Meerut",Meerut,Uttar Pradesh,,nan,nan,nan
782,Meghnad Saha Institute of Technology,Kolkata,West Bengal,,nan,nan,nan
783,Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,,nan,nan,nan
784,MES Engineering College,Malappuram District,Kerala,,nan,nan,nan
785,Methodist College of Engineering & Technology,Hyderabad,Telangana,,nan,nan,nan
786,Mewar University,Chittorgarh,Rajasthan,,nan,nan,nan
787,MIT Academy of Engineering,Pune,Maharashtra,,nan,nan,nan
788,"MIT Art, Design and Technology University, Pune",Pune,Maharashtra,,nan,nan,nan
789,MKSSS`s Cummins College of Engineering for Women,Nagpur,Maharashtra,,nan,nan,nan
790,MLR Institute of Technology,Hyderabad,Telangana,,nan,nan,nan
791,MM College of Technology,Raipur,Chhattisgarh,,nan,nan,nan
792,MNR College of Engineering & Technology,Sangareddy,Telangana,,nan,nan,nan
793,Model Engineering College,Cochin,Kerala,,nan,nan,nan
794,Model Institute of Engineering and Technology,Jammu,Jammu and Kashmir,,nan,nan,nan
795,Modern Education Society`s College of Engineering,Pune,Maharashtra,,nan,nan,nan
796,"Mohamed Sathak Engineering College, Kilakarai",Ramanathapuram,Tamil Nadu,,nan,nan,nan
797,Moradabad Institute of Technology,Moradabad,Uttar Pradesh,,nan,nan,nan
798,Mother Theresa Institute of Engineering and Technology,Palamaner,Andhra Pradesh,,nan,nan,nan
799,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,,nan,nan,nan
800,Mount Zion College of Engineering and Technology,Pudukkottai,Tamil Nadu,,nan,nan,nan
801,MRR Institute of Technology & Science,Udayagiri,Andhra Pradesh,,nan,nan,nan
802,Muffakham Jah College of Engineering and Technology,Hyderabad,Telangana,,nan,nan,nan
803,Muthayammal Engineering College,Namakkal,Tamil Nadu,,nan,nan,nan
804,Muthoot Institute of Technology and Science,Puthencruz,Kerala,,nan,nan,nan
805,MVJ College of Engineering,Bengaluru,Karnataka,,nan,nan,nan
806,MVR College of Engineering & Technology,Vijayawada,Andhra Pradesh,,nan,nan,nan
807,MVSR Engineering College,Hyderabad,Telangana,,nan,nan,nan
808,N. B. K. R. Institute of Science & Technology,Vidyanagar,Andhra Pradesh,,nan,nan,nan
809,"N.P.R. College of Engineering and Technology, Natham Village, Dindigul",Dindigul,Tamil Nadu,,nan,nan,nan
810,Nadar Saraswathi College of Engineering & Technology,Theni,Tamil Nadu,,nan,nan,nan
811,"Nagarjuna College of Engineering & Technology, Bangalore",Bengaluru,Karnataka,,nan,nan,nan
812,"Nagesh Karajagi Orchid College of Engineering and Technology, Solapur.",Solapur,Maharashtra,,nan,nan,nan
813,Nagpur Institute of Technology,Nagpur,Maharashtra,,nan,nan,nan
814,Nalanda Institute of Technology Bhubaneswar,BHUBANESWAR,Odisha,,nan,nan,nan
815,Nalla Malla Reddy Engineering College,Hyderabad,Telangana,,nan,nan,nan
816,Nalla Narasimha Reddy Education Society`s Group of Institutions,Hyderabad,Telangana,,nan,nan,nan
817,"Nanasaheb Mahadik College of Engineering, Peth",Sangli,Maharashtra,,nan,nan,nan
818,Nandha College of Technology,Erode,Tamil Nadu,,nan,nan,nan
819,Nandha Engineering College,Erode,Tamil Nadu,,nan,nan,nan
820,Narasaraopeta Engineering College,Narasaraopet,Andhra Pradesh,,nan,nan,nan
821,Narasaraopeta Institute of Technology,Narasaraopet,Andhra Pradesh,,nan,nan,nan
822,Narasu?s Sarathy Institute of Technology,Salem,Tamil Nadu,,nan,nan,nan
823,Narayana Engineering College,Nellore,Andhra Pradesh,,nan,nan,nan
824,Narayana Engineering College,Gudur,Andhra Pradesh,,nan,nan,nan
825,Narsimhareddy Engineering College,Secunderabad,Telangana,,nan,nan,nan
826,Narula Institute of Technology,Kolkata,West Bengal,,nan,nan,nan
827,National Engineering College,Kovilpatti,Tamil Nadu,,nan,nan,nan
828,National Fire Service College,Nagpur,Maharashtra,,nan,nan,nan
829,"National Institute of Advanced Manufacturing Technology, Ranchi",Ranchi,Jharkhand,,nan,nan,nan
830,"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana,,nan,nan,nan
831,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Thanjavur,Tamil Nadu,,nan,nan,nan
832,National Institute of Science & Technology,Berhampur,Odisha,,nan,nan,nan
833,National Institute of Technology Agartala,Agratala,Tripura,,nan,nan,nan
834,National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh,,nan,nan,nan
835,National Institute of Technology Delhi,Delhi,Delhi,,nan,nan,nan
836,National Institute of Technology Durgapur,Durgapur,West Bengal,,nan,nan,nan
837,National Institute of Technology Goa,Ponda,Goa,,nan,nan,nan
838,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,,nan,nan,nan
839,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,,nan,nan,nan
840,National Institute of Technology Manipur,Imphal,Manipur,,nan,nan,nan
841,National Institute of Technology Meghalaya,Shillong,Meghalaya,,nan,nan,nan
842,National Institute of Technology Mizoram,Aizawl,Mizoram,,nan,nan,nan
843,National Institute of Technology Nagaland,Dimapur,Nagaland,,nan,nan,nan
844,National Institute of Technology Puducherry,Karaikal,Pondicherry,,nan,nan,nan
845,National Institute of Technology Rourkela,Rourkela,Odisha,,nan,nan,nan
846,National Institute of Technology Sikkim,South Sikkim,Sikkim,,nan,nan,nan
847,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,,nan,nan,nan
848,National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,,nan,nan,nan
849,National Institute of Technology Warangal,Warangal,Telangana,,nan,nan,nan
850,"National Institute of Technology, Andhra Pradesh",TADEPALLIGUDEM,Andhra Pradesh,,nan,nan,nan
851,"National Institute of Technology, Calicut",Kozhikode,Kerala,,nan,nan,nan
852,"National Institute of Technology, Hamirpur",Hamirpur,Himachal Pradesh,,nan,nan,nan
853,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,,nan,nan,nan
854,"National Institute of Technology, Patna",Patna,Bihar,,nan,nan,nan
855,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,,nan,nan,nan
856,"National Institute of Technology, Silchar",Silchar,Assam,,nan,nan,nan
857,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,,nan,nan,nan
858,Nav Nirman Sewa Samiti`s Samalkha Group of Institutions,Panipat,Haryana,,nan,nan,nan
859,"Navodaya Institute of Technology, Raichur",Raichur,Karnataka,,nan,nan,nan
860,Nehru College of Engineering and Research Centre,Pampady,Kerala,,nan,nan,nan
861,Nehru Institute of Engineering and Technology,Coimbatore,Tamil Nadu,,nan,nan,nan
862,"Neotia Institute of Technology, Management and Sciencee",Kolkata,West Bengal,,nan,nan,nan
863,Netaji Subhas University of Technology (NSUT),South West,Delhi,,nan,nan,nan
864,Netaji Subhash Engineering College,Kolkata,West Bengal,,nan,nan,nan
865,New Horizon College of Engineering,Bengaluru,Karnataka,,nan,nan,nan
866,New Prince Shri Bhavani College of Engineering and Technology,Chennai,Tamil Nadu,,nan,nan,nan
867,NIE Institute of Technology,Mysuru,Karnataka,,nan,nan,nan
868,Nirma University,Ahmedabad,Gujarat,,nan,nan,nan
869,NITRA Technical Campus,Ghaziabad,Uttar Pradesh,,nan,nan,nan
870,Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,,nan,nan,nan
871,NMAM Institute of Technology,"Nitte, Udupi",Karnataka,,nan,nan,nan
872,Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,,nan,nan,nan
873,Noorul Islam Centre for Higher Education - Kanyakumari,Thuckalay,Tamil Nadu,,nan,nan,nan
874,North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,,nan,nan,nan
875,NRI - Institute of Research & Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
876,NRI Institute of Information Science and Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
877,NRI Institute of Technology,Vijayawada,Andhra Pradesh,,nan,nan,nan
878,NSHM Knowledge Campus Durgapur Group of Institutions,Barddhaman,West Bengal,,nan,nan,nan
879,NSS College of Engineering,Palakkad,Kerala,,nan,nan,nan
880,Omdayal Group of Institutions,Howrah,West Bengal,,nan,nan,nan
881,OP Jindal University,Raigarh,Chhattisgarh,,nan,nan,nan
882,Oriental College of Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
883,Oriental Institute of Science and Technology,Bhopal,Madhya Pradesh,,nan,nan,nan
884,"Oriental University, Indore",Indore,Madhya Pradesh,,nan,nan,nan
885,Osmania University,Hyderabad,Telangana,,nan,nan,nan
886,"P D A College of Engineering, Gulbarga",Kalaburagi,Karnataka,,nan,nan,nan
887,"P E S College of Engineering, Mandya",Mandya,Karnataka,,nan,nan,nan
888,P. A. College of Engineering and Technology,Pollachi,Tamil Nadu,,nan,nan,nan
889,P. S. R. Engineering College,Virudhunagar,Tamil Nadu,,nan,nan,nan
890,P. S. R. Rengasamy College of Engineering for Women,Sivakasi,Tamil Nadu,,nan,nan,nan
891,P.E.S. COLLEGE OF ENGINEERING,Aurangabad,Maharashtra,,nan,nan,nan
892,P.P. Savani University,Surat,Gujarat,,nan,nan,nan
893,Paavai Engineering College,Namakkal,Tamil Nadu,,nan,nan,nan
894,PACE Institute of Technology and Sciences,Ongole,Andhra Pradesh,,nan,nan,nan
895,Padmabhooshan Vasantraodada Patil Institute of Technology,Budhgaon,Maharashtra,,nan,nan,nan
896,Padmabhushan Vasantdada Patil Pratishthan's College of Engineering,Mumbai,Maharashtra,,nan,nan,nan
897,Padmasri Dr. B.V. Raju Institute of Technology,Medak,Telangana,,nan,nan,nan
898,"Padmshri Dr.V.B.Kolte College of Engineering, Malkapur",Malkapur,Maharashtra,,nan,nan,nan
899,Padre Conceicao College of Engineering,Verna,Goa,,nan,nan,nan
900,Pandit Deendayal Energy University,Gandhinagar,Gujarat,,nan,nan,nan
901,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,,nan,nan,nan
902,Panimalar Engineering College,Thiruvallur,Tamil Nadu,,nan,nan,nan
903,Panimalar Institute of Technology,Thiruvallur,Tamil Nadu,,nan,nan,nan
904,Panipat Institute of Engineering & Technology,Panipat,Haryana,,nan,nan,nan
905,Panjab University,Chandigarh,Chandigarh,,nan,nan,nan
906,Parala Maharaja Engineering College,Berhampur,Odisha,,nan,nan,nan
907,Parul University,Vadodara,Gujarat,,nan,nan,nan
