name,city,state,nirfRank,rank
Dr. Bhanuben Mahendra Nanavati College of Home Science,Mumbai,Maharashtra,nan,nan
Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School ,Pune,Maharashtra,258,nan
Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering,Pune,Maharashtra,nan,nan
Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering and Technology,Pune,Maharashtra,nan,nan
"Dr. D. Y. Patil Institute of Engineering, Management and Research",Pune,Maharashtra,nan,nan
Dr. D. Y. Patil Institute of Management and Rsearch,Pune,Maharashtra,nan,nan
Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,193,nan
Dr. D. Y. Patil Vidyapeeth,nan,nan,17,nan
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,nan,41
"Dr. D.Y.Patil Unitech Society Dr. D.Y.Patil Arts, Commerce and Science College",Pune,Maharashtra,nan,nan
Dr. G. Y. Pathrikar College of Computer Science and Information Technology,Aurangabad,Maharashtra,nan,nan
"Dr. Gafoor Memorial MES Mampad College, Mampad",Malappuram,Kerala,nan,nan
Dr. Gaur Hari Singhania Institute of Management and Research,Kanpur Nagar,Uttar Pradesh,nan,nan
"Dr. Harisingh Gour Vishwavidyalaya, Sagar",Sagar,Madhya Pradesh,nan,nan
Dr. Harvansh Singh Judge Institute of Dental Sciences,Chandigarh,Chandigarh,nan,nan
"Dr. I. T Business school , Jalalapur",Banur,Punjab,nan,nan
Dr. K. V. Subba Reddy Institute of MCA,Kurnool,Andhra Pradesh,nan,nan
Dr. K. V. Subba Reddy Institute of Management,Kurnool,Andhra Pradesh,nan,nan
"Dr. K.N. Modi Institute of Engineering and Technology, Modinagar, Ghaziabad",Ghaziabad,Uttar Pradesh,nan,nan
"Dr. K.V.Subba Reddy Institute of Technology, Kurnool",Kurnool,Andhra Pradesh,nan,nan
Dr. Kanailal Bhattacharya College,Ramrajatala,West Bengal,nan,nan
Dr. L.B. College,Visakhapatnam,Andhra Pradesh,nan,nan
Dr. Lankapalli Bullayya College of Engineering,Visakhapatnam,Andhra Pradesh,nan,nan
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,nan,100
Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu,nan,nan
Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,nan,nan
Dr. N. G. P. Institute of Technology,Coimbatore,Tamil Nadu,nan,nan
Dr. Panjabrao Deshmukh Law College,Amravati,Maharashtra,nan,nan
"Dr. Pitambar Datt Barthwal Himalaya Government PG Degree College,Kotdwar",Kotdwara,Uttarakhand,nan,nan
Dr. R.V. Arts and Science College,Coimbatore,Tamil Nadu,nan,nan
"Dr. Ram Manohar Lohia Awadh University, Faizabad",Faizabad,Uttar Pradesh,nan,nan
"Dr. Ram Manohar Lohiya National Law University, Lucknow",Lucknow,Uttar Pradesh,17,nan
Dr. S N N Government Degree College Vedikhal,VEDIKHAL,Uttarakhand,nan,nan
"Dr. S. & S. S. Ghandhy Government Engineering College, Surat",Surat,Gujarat,nan,nan
Dr. S. N. Medical College and Hospital,Jodhpur,Rajasthan,nan,nan
Dr. S. N. S. Rajalakshmi College of Arts and Science,Coimbatore,Tamil Nadu,nan,nan
Dr. S.R.K. Government Arts College,Puducherry,Pondicherry,nan,nan
Dr. Samuel George Institute of Engineering & Technology,Markapur,Andhra Pradesh,nan,nan
Dr. Shashikant Raghunath Kuchekar of Pravara Rural Education Society's Women's College of Home Science and BCA,,Maharashtra,nan,nan
Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,Kolkata,West Bengal,nan,nan
Dr. T. Thimmaiah Institute of Technology,KGF,Karnataka,nan,nan
Dr. Umayal Ramanathan College for Women,Sivaganga,Tamil Nadu,nan,nan
Dr. V. R. Godhania College of Engineering & Technology,Porbandar,Gujarat,nan,nan
"Dr. Vasantrao Pawar Medical College, Hospital & Research Centre, Nashik",Nashik,Maharashtra,nan,nan
"Dr. Virendra Swarup Memorial Trust Group of Institutions, Unnao",Unnao,Uttar Pradesh,nan,nan
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,116,nan
"Dr.Babasaheb Ambedkar mahavidyalaya, Amravati",Amravati,Maharashtra,nan,nan
"Dr.Lalireddy Hanimireddy Government Degree College, Mylavaram",Krishna,Andhra Pradesh,nan,nan
Dr.V.S. Krishna Government Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
"Dr.Zakir Hussain College, Ilayangudi",Ilayangudi-,Tamil Nadu,nan,nan
Dream Institute of Technology,Kolkata,West Bengal,nan,nan
Dronacharya College of Engineering,Gurgaon,Haryana,nan,nan
Dronacharya G.C,Gurgaon,Haryana,nan,nan
Dronacharya Group of Institutions,Greater Noida,Uttar Pradesh,nan,nan
Drs. Sudha and Nageswara Rao Siddhartha Institute of Dental Sciences,Vijayawada,Andhra Pradesh,nan,nan
Durgadevi Saraf Institute of Management Studies,Mumbai,Maharashtra,nan,nan
Dyal Singh College,New Delhi,Delhi,nan,nan
"E S COLLEGE OF NURSING, VILLUPURAM",Villupuram,Tamil Nadu,nan,nan
"E S I, Joka",KOLKATA - 700104,West Bengal,nan,nan
E.G.S. Pillay Engin,Nagapattinam,Tamil Nadu,259,nan
E.G.S. Pillay Engineering College,Nagapattinam,Tamil Nadu,nan,nan
E.M.G. Yadava Women'S College,Madurai,Tamil Nadu,nan,nan
"ESI MEDICAL COLLEGE & ESI-PGIMSR, CHENNAI",Chennai,Tamil Nadu,nan,nan
ESIC Dental College,Gulbarga,Karnataka,nan,nan
ESIC Dental College,Delhi,Delhi,nan,nan
ESIC MEDICAL COLLEGE AND HOSPITAL,Faridabad,Haryana,nan,nan
"ESIC MEDICAL COLLEGE AND HOSPITAL, SEDAM ROAD GULBARGA",KALABURAGI,Karnataka,nan,nan
"ESIC MEDICAL COLLEGE AND POST GRADUATE INSTITUTE OF MEDICAL SCINECES AND RESEARCH, Bangalore",Bangalore,Karnataka,nan,nan
"EU's Dr. Annasaheb G. D. Bendale Mahila Mahavidyalaya, Jalgaon",Jalgaon,Maharashtra,nan,nan
East West Institute of Technology,Bengaluru,Karnataka,nan,nan
Easwari Engineering College,Chennai,Tamil Nadu,181,nan
Ellenki College of Engineering & Technology,Medak,Telangana,nan,nan
Elphinstone College Fort Mumbai,Mumbai,Maharashtra,nan,nan
"Emea Arts & Science College, Kondotty",Malappuram,Kerala,nan,nan
"Engineering College, Ajmer",Ajmer,Rajasthan,nan,nan
Entrepreneurship Development Institute of India,Bhat,Gujarat,nan,nan
Er. Perumal Manimekalai College of Engineering,Krishnagiri,Tamil Nadu,nan,nan
"Era's Lucknow Medical College & Hospital, Lucknow",Lucknow,Uttar Pradesh,nan,nan
Erode Arts and Science College,Erode,Tamil Nadu,nan,nan
Erode Sengunthar Engineering College,Erode,Tamil Nadu,nan,nan
"Eshan College of Engineering, Mathura",Mathura,Uttar Pradesh,nan,nan
Eswar College of Engineering,Guntur,Andhra Pradesh,nan,nan
Ethiraj College for Women,Chennai,Tamil Nadu,nan,nan
"Everest Education Society Sanchalit, College of Engineering",Aurangabad,Maharashtra,nan,nan
Ewing Christian College,Allahabad,Uttar Pradesh,nan,nan
Excel Engineering College,Namakkal,Tamil Nadu,nan,nan
"F.G.M. Government College, Adampur",Hisar,Haryana,nan,nan
FORE SCHOOL OF MANAGEMENT,New Delhi,Delhi,nan,nan
FORTUNE INSTITUTE OF INTERNATIONAL BUSINESS,Delhi,Delhi,nan,nan
FOSTIIMA Business School,Dwarka,Delhi,nan,nan
"Faculty of Architecture and Planning, Dr APJ Abbdul Kalam Technical University, Lucknow",Lucknow,Uttar Pradesh,nan,nan
Fairfield Institute of Management & Technology,NEW DELHI,Delhi,nan,nan
"Farook College, Kozhikkode",Kozhikode,Kerala,nan,nan
Farooqia Dental College & Hospital,Mysore,Karnataka,nan,nan
Fatima College,Madurai,Tamil Nadu,nan,nan
"Fatima Mata National College, Kollam",Kollam,Kerala,nan,nan
Fazl Ali College,Mokokchung,Nagaland,nan,nan
Federal Institute of Science and Technology (FISAT),Ernakulam,Kerala,nan,nan
Ferugusson College(Autonomous),Pune,Maharashtra,nan,nan
Finolex Academy of Management and Technology,Ratnagiri,Maharashtra,nan,nan
Fore School of Management,nan,nan,60,nan
Foster Development School of Management,Aurangabad,Maharashtra,nan,nan
"Fr. Agnel College of Arts & Commerce, Pilar",North Goa,Goa,nan,nan
Fr. C. Rodrigues Institute of Technology,Navi Mumbai,Maharashtra,nan,nan
Fr. Conceicao Rodrigues College of Engineering,Mumbai,Maharashtra,nan,nan
Fr. Muller Medical College,Mangalore,Karnataka,nan,nan
Francis Xavier Engineering College,Tirunelveli,Tamil Nadu,nan,nan
Furkating College,Golaghat,Assam,nan,nan
Future Institute of Engineering and Management,Kolkata,West Bengal,nan,nan
Future Institute of Technology,Kolkata,West Bengal,nan,nan
"G AND R INSTITUTE OF MANAGEMENT AND TECHNOLOGY, BHULANDSHAR",BULANDHAHR,Uttar Pradesh,nan,nan
G D C Muwani,PITHORAGARH,Uttarakhand,nan,nan
G H Patel College of Engineering & Technology,Vallabh Vidyanagar,Gujarat,nan,nan
"G M E R S MEDICAL COLLEGE, AHMEDABAD",Ahmadabad,Gujarat,nan,nan
"G M E R S MEDICAL COLLEGE, GANDHINAGAR",Gandhinagar,Gujarat,nan,nan
"G M Institute of Technology, Davangere",Davangere,Karnataka,nan,nan
"G S S S Institute of Engineering & Technology for Women, Mysore",Mysuru,Karnataka,nan,nan
G S Tompe Arts Commerce and Science College,Chandur Bazar,Maharashtra,nan,nan
G. A. C. for Men,Chennai,Tamil Nadu,nan,nan
G. B. Pant Government Engin,Delhi,Delhi,260,nan
G. B. Pant Government Engineering College,Delhi,Delhi,nan,nan
G. C. for Women,Mahendragarh,Haryana,nan,nan
G. D. Goenka University,Gurgaon,Haryana,nan,nan
G. G. D. S. D. College,Hoshiarpur,Punjab,nan,nan
"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra,163,nan
G. H. Raisoni Institute of Business Management,Jalgaon,Maharashtra,nan,nan
G. I. D. C. Degree Enginering College,Navsari,Gujarat,nan,nan
G. K. M. College of Engineering and Technology,Chennai,Tamil Nadu,nan,nan
G. L. A. University,Mathura,Uttar Pradesh,186,nan
G. L. Bajaj Institute of Management and Research,Greater Noida,Uttar Pradesh,nan,nan
G. L. Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,195,nan
G. Madegowda Institute of Technology,Mandya,Karnataka,nan,nan
G. N. A. University,Kapurthala,Punjab,nan,nan
G. N. V. S. Institute of Managment,Mumbai,Maharashtra,nan,nan
G. Narayanamma Institute of Technology & Sci,Hyderabad,Telangana,261,nan
G. Narayanamma Institute of Technology & Science for Women,Hyderabad,Telangana,nan,nan
G. Pulla Reddy Engin,Kurnool,Andhra Pradesh,262,nan
G. Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,nan,nan
G. Pullaiah College of Engineering and Technology,Kurnool,Andhra Pradesh,nan,nan
G. S. College of Commerce and Economics,"Near Civil Lines Thana, Jabalpur",Madhya Pradesh,nan,nan
"G. S. Science, Arts and Commerce College",Khamgaon,Maharashtra,nan,nan
G. Venkataswamy Naidu College,Kovilpatti,Tamil Nadu,nan,nan
G.C. Gohana (Sonepat),Gohana,Haryana,nan,nan
"G.C. Jain Commerce College, Chaibasa",CHAIBASA,Jharkhand,nan,nan
"G.C. Meham, Rohtak",Rohtak,Haryana,nan,nan
"G.P. Pant Memorial Government College Rampur Bhushar, Distt Shimla",Shimla,Himachal Pradesh,nan,nan
G.P. Women's College,Imphal West,Manipur,nan,nan
G.T.N. Arts College,Dindigul,Tamil Nadu,nan,nan
G.T.R.M. Government Degree College,Kurnool,Andhra Pradesh,nan,nan
G.V.M. Girls College,Sonipat,Haryana,nan,nan
G.V.S.M. Government Degree College,Ulavapadu,Andhra Pradesh,nan,nan
"GEMS Medical College, Srikakulam",Srikakulam,Andhra Pradesh,nan,nan
GF's Godavari College of Engineering,Jalgaon,Maharashtra,nan,nan
"GHANSHYAM BINANI ACADEMY OF MANAGEMENT SCIENCES, MIRZAPUR",Mirzapur,Uttar Pradesh,nan,nan
"GMERS Medical College, Gotri, Vadodara",Vadodara,Gujarat,nan,nan
GMR Institute of Technology,Rajam,Andhra Pradesh,188,nan
GOA INSTITUTE OF MANAGEMENT,Sanquelim,Goa,nan,nan
GOA Institute of Management,nan,nan,36,nan
GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON,Jalgaon,Maharashtra,nan,nan
"GOVERNMENT CHENGALPATTU MEDICAL COLLEGE & HOSPITAL, KANCHEEPURAM",Chengalpattu,Tamil Nadu,nan,nan
GOVERNMENT DENTAL COLLEGE,Thiruvananthapuram,Kerala,nan,nan
"GOVT. COLLEGE FOR WOMEN, JASSAUR KHERI",Bahadurgarh,Haryana,nan,nan
GRAPHIC ERA HILL UNIVERSITY,Dehradun,Uttarakhand,nan,nan
GRT Institute of Engineering and Technology,Thiruvallur,Tamil Nadu,nan,nan
GURU NANAK INSTITUTE OF DENTAL SCIENCES & RESEARCH,Kolkata-,West Bengal,nan,nan
GVRS Government Degree College,Kurnool,Andhra Pradesh,nan,nan
Galgotias College of Engineering & Technology,Greater Noida,Uttar Pradesh,192,nan
Galgotias Institute of Management & Technology,Greater Noida,Uttar Pradesh,nan,nan
Galgotias University,nan,nan,93,nan
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,147,nan
Gandhi Engieering College (GEC),Bhubaneswar,Odisha,nan,nan
"Gandhi Institute for Education and Technology (GIET), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
Gandhi Institute for Technological Aavancement (GITA,Bhubaneswar,Odisha,211,nan
"Gandhi Institute for Technological Aavancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",Bhubaneswar,Odisha,nan,nan
Gandhi Institute of Engineering ,Gunupur,Odisha,263,nan
Gandhi Institute of Engineering and Technology,Gunupur,Odisha,nan,nan
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,nan,nan
Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,nan,92
Gandhi Memorial National College,Ambala,Haryana,nan,nan
"Gandhinagar Charitable Trust Sanchalit Samarpan Arts and Commerce College, Gandhinagar",Gandhinagar,Gujarat,nan,nan
Ganga Institute of Technology & Management,Jhajjar,Haryana,nan,nan
Gangadhar Meher University,Sambalpur,Odisha,nan,nan
Ganpat University,"Ganpat Vidyanagar, Mehsana",Gujarat,nan,nan
Ganpatrao Arwade College of Commerce,Sangli,Maharashtra,nan,nan
Gargaon College,Sivasagar,Assam,nan,nan
Gargi College,Delhi,Delhi,nan,nan
Gargi Memorial Institute of Technology Campus,Kolkata,West Bengal,nan,nan
Gates Institute of Technology,Gooty,Andhra Pradesh,nan,nan
Gauhati University,Guwahati,Assam,nan,36
Gautam Buddha University,Gautam Buddha Nagar,Uttar Pradesh,nan,nan
Gayatri Degree College,Seethanagaram,Andhra Pradesh,nan,nan
"Gayatri Degree College, Kota road",Vizianagaram,Andhra Pradesh,nan,nan
Gayatri Mahila Degree College,Parvatipuram,Andhra Pradesh,nan,nan
Gayatri Vidya Parishad College ,Visakhapatnam,Andhra Pradesh,264,nan
Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),Visakhapatnam,Andhra Pradesh,nan,nan
Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh,nan,nan
Gayatri Vidya Parishad College of Engineering for Women,Visakhapatnam,Andhra Pradesh,nan,nan
Geeta Institute of Law,Panipat,Haryana,nan,nan
Geetanjali College of Engineering and Technology,Medchal Malkajgiri,Telangana,nan,nan
Geetanjali Institute of Science and Technology,Nellore,Andhra Pradesh,nan,nan
Geetanjali Institute of Technical Studies,Udaipur,Rajasthan,nan,nan
Geetanjali University,Udaipur,Rajasthan,nan,nan
"General Shivdev Singh Diwan Gurbachan Singh Khalsa College, Patiala",Patiala,Punjab,nan,nan
Gharda Foundations Gharda Institute of Technology,Ratnagiri,Maharashtra,nan,nan
"Ghatshila College, Ghatshila",GHATSILA,Jharkhand,nan,nan
Gian Jyoti Institute of Management and Technology,Mohali,Punjab,nan,nan
"Giani Zail Singh Campus College of Engineering & Technology, Bathinda",Bathinda,Punjab,nan,nan
Girdari Lal Dogra Memorial Degree College,Hiranagar,Jammu and Kashmir,nan,nan
Girijananda Chowdhury Institute of Management & Technology,Kamrup,Assam,nan,nan
Girijananda Chowdhury Institute of Management and Technology,Tezpur,Assam,nan,nan
Girraj Government College,Nizamabad,Telangana,nan,nan
Gitai Institute of Management,Aurangabad,Maharashtra,nan,nan
Gitam Dental College & Hospital,Vishakhapatnam,Andhra Pradesh,33,nan
Global Academy of Technology,Bengaluru,Karnataka,nan,nan
Global Institute of Engineering and Technology,Vellore,Tamil Nadu,nan,nan
"Global Nature Care Group Sangathan Institution, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
Global Research Institute of Management & Technology,Yamuna Nagar,Haryana,nan,nan
Globsyn Business School,24 Paraganas (S),West Bengal,nan,nan
Gnanamani College of Technology,Namakkal,Tamil Nadu,nan,nan
Goa College of Engineering (Government of Goa),Ponda,Goa,nan,nan
Goa College of Home Science Campal Panaji,Panaji,Goa,nan,nan
Goa College of Music Altinho Panaji,Panaji,Goa,nan,nan
Goa Medical College Bambolim,North Goa,Goa,nan,nan
Goa Vidyaprasarak Mandals Gopal Govind Poy Raiturcar College of Commerce and Economics,North Goa,Goa,nan,nan
Goalpara College,Goalpara,Assam,nan,nan
Gobi Arts & Science College,Erode,Tamil Nadu,nan,nan
Godavari Institute of Engineerin,Rajahmundry,Andhra Pradesh,212,nan
Godavari Institute of Engineering & Technology,Rajahmundry,Andhra Pradesh,nan,nan
Godutai Dodappa Appa Arts & Commerce College for Women,Gulbarga,Karnataka,nan,nan
Gogte Institute of Techn,Belagavi,Karnataka,265,nan
"Gogte Institute of Technology, Belgaum",Belagavi,Karnataka,nan,nan
Gojan School of Business and Technology,Chennai,Tamil Nadu,nan,nan
Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,148,nan
"Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies and Research",Nashik,Maharashtra,nan,nan
Gokhale Education Societys Shri Bhausaheb Vartak Arts Science and Commerce College,Mumbai-,Maharashtra,nan,nan
Gokula Krishna College of Engineering,Sullurupeta,Andhra Pradesh,nan,nan
Gonzaga College of Arts & Science for women,Krishnagiri,Tamil Nadu,nan,nan
"Gopikabai Sitaram Gawande College, Umarkhed",Umarkhed,Maharashtra,nan,nan
"Gopinath Singh Mahila College,Garhwa",Garhwa,Jharkhand,nan,nan
Goswami Ganesh Dutta S.D. College,Chandigarh,Chandigarh,nan,nan
Gouthami Institute of Technology & Management for Women,Proddatur,Andhra Pradesh,nan,nan
Government Arts & Commerce College Jadar,Sabar Kantha,Gujarat,nan,nan
"Government Arts & Science College, Armoor (5010)",Nizamabad,Telangana,nan,nan
"Government Arts & Science College, Kozhinjampara",Palakkad,Kerala,nan,nan
Government Arts And Commerce College,Sabarkantha,Gujarat,nan,nan
Government Arts College,Ranavav,Gujarat,nan,nan
Government Arts College,The Nilgiris,Tamil Nadu,nan,nan
Government Arts College,MADURAI,Tamil Nadu,nan,nan
Government Arts College,Dharmapuri,Tamil Nadu,nan,nan
Government Arts College,Salem,Tamil Nadu,nan,nan
Government Arts College,Coimbatore,Tamil Nadu,nan,nan
Government Arts College,Tiruchirappalli,Tamil Nadu,nan,nan
Government Arts College,Cuddalore,Tamil Nadu,nan,nan
Government Arts College,Karur,Tamil Nadu,nan,nan
Government Arts College Thiruvannamalai,Thiruvannamalai,Tamil Nadu,nan,nan
Government Arts College for Men,Krishnagiri,Tamil Nadu,nan,nan
Government Arts College for Women,Salem,Tamil Nadu,nan,nan
Government Arts College for Women,Pudukkottai,Tamil Nadu,nan,nan
"Government Arts College for Women, Sivaganga",Sivagangai,Tamil Nadu,nan,nan
"Government Arts College, Ariyalur",Ariyalur,Tamil Nadu,nan,nan
"Government Arts College, Chitradurga",Chitradurga,Karnataka,nan,nan
"Government Arts College, Hassan",Hassan,Karnataka,nan,nan
"Government Arts College, Karur",Karur,Tamil Nadu,nan,nan
"Government Arts College, Kumbakonam",Kumbakonam,Tamil Nadu,nan,nan
"Government Arts College, Maninagar",Ahmedabad,Gujarat,nan,nan
"Government Arts College, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
"Government Arts College, Tiruppur",Udumalpet,Tamil Nadu,nan,nan
"Government Arts Commerce College, Keolari, Seoni",keolari,Madhya Pradesh,nan,nan
Government Arts and Commerce College,Jafrabad,Gujarat,nan,nan
"Government Arts and Science College for Women , Barugur",Barugur,Tamil Nadu,nan,nan
"Government Arts and Science College, Hosur",Krishnagiri,Tamil Nadu,nan,nan
"Government Arts and Science College, Kangeyam",Tiruppur,Tamil Nadu,nan,nan
"Government Arts and Science College, Komarapalayam",Namakkal,Tamil Nadu,nan,nan
"Government Arts and Science College, Kovilpatti",kovilpatti,Tamil Nadu,nan,nan
"Government Autonmous Science College, Civil Lines, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
"Government Autonomous M.K.B. Arts & Commerce College for Women, Jabalpur",Jabalpur,Madhya Pradesh,nan,nan
Government Brennen College,Kannur,Kerala,nan,nan
Government Chatrsal College Pichore,PICHHORE,Madhya Pradesh,nan,nan
Government City College,Hyderabad,Telangana,nan,nan
Government College,Rajahmundry,Andhra Pradesh,nan,nan
Government College,DURG,Chhattisgarh,nan,nan
Government College,District Cuddpah,Andhra Pradesh,nan,nan
Government College Alampur,alampur,Madhya Pradesh,nan,nan
Government College Aroon,Aron,Madhya Pradesh,nan,nan
Government College Baldwara (Mandi),Baldwara,Himachal Pradesh,nan,nan
Government College Hamirpur,Hamirpur,Himachal Pradesh,nan,nan
Government College Karera,Karera,Madhya Pradesh,nan,nan
"Government College Kasaragod, Vidya Nagar",Kasaragod,Kerala,nan,nan
Government College Kolaras,kolaras,Madhya Pradesh,nan,nan
Government College Mahgoan,Bhind,Madhya Pradesh,nan,nan
Government College Muganwali,MUNGAOLI,Madhya Pradesh,nan,nan
Government College Ropar,Rupnagar,Punjab,nan,nan
Government College Vijaypur,Sheopur,Madhya Pradesh,nan,nan
Government College for Men,Kurnool,Andhra Pradesh,nan,nan
"Government College for Men, Kadapa",Kadapa,Andhra Pradesh,nan,nan
Government College for Women,"Gandhi Nagar, Dist. Jammu",Jammu and Kashmir,nan,nan
Government College for Women (Autonomous),Srikakulam,Andhra Pradesh,nan,nan
Government College for Women Nawakadal,"Nawakadal, Dist. Srinagar",Jammu and Kashmir,nan,nan
"Government College for Women, Kumbakonam",KUMBAKONAM - 612 001,Tamil Nadu,nan,nan
"Government College for Women, Parade Ground , Jammu",Jammu & Kashmir,Jammu and Kashmir,nan,nan
"Government College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
"Government College for Women, Udhampur",Udhampur,Jammu and Kashmir,nan,nan
Government College of Arts & Commerce Virnoda Pernem,Pernem,Goa,nan,nan
Government College of Arts & Science,Aurangabad,Maharashtra,nan,nan
Government College of Arts Science & Commerce Sanquelim,Sankhali,Goa,nan,nan
"Government College of Arts Science & Commerce, Khandola",Marcela,Goa,nan,nan
"Government College of Arts Science & Commerce, Quepem",South Goa,Goa,nan,nan
"Government College of Commerce and Economics, Borda",Margao,Goa,nan,nan
Government College of Engineering,Theni,Tamil Nadu,nan,nan
Government College of Engineering,Kalahandi,Odisha,nan,nan
Government College of Engineering,Keonjhar,Odisha,nan,nan
Government College of Engineering,Kannur,Kerala,nan,nan
Government College of Engineering,Krishnagiri,Tamil Nadu,nan,nan
Government College of Engineering,Karad,Maharashtra,nan,nan
Government College of Engineering,Salem,Tamil Nadu,nan,nan
Government College of Engineering & Ceramic Technology,Kolkata,West Bengal,nan,nan
Government College of Engineering & Leather Technology,Kolkata,West Bengal,nan,nan
Government College of Engineering & Technology,Jammu,Jammu and Kashmir,nan,nan
Government College of Engineering (Academic Autonomous),Aurangabad,Maharashtra,nan,nan
Government College of Engineering and Research,Avasari (Khurd),Maharashtra,nan,nan
"Government College of Engineering, Amravati",Amravati,Maharashtra,nan,nan
"Government College of Engineering, Jalgaon",Jalgaon,Maharashtra,nan,nan
Government College of Technology,Coimbatore,Tamil Nadu,160,nan
"Government College, Attingal",Thiruvananthapuram,Kerala,nan,nan
"Government College, Barwala",Barwala,Haryana,nan,nan
"Government College, Ellenabad",Sirsa,Haryana,nan,nan
"Government College, Gharaunda",Gharaunda,Haryana,nan,nan
"Government College, Hisar",HISAR,Haryana,nan,nan
"Government College, Indergarh, Datia",M.P,Madhya Pradesh,nan,nan
"Government College, Ishagarh",ISHAGARH,Madhya Pradesh,nan,nan
"Government College, Jind",Jind,Haryana,nan,nan
"Government College, Kalka",Panchkula,Haryana,nan,nan
"Government College, Kurwai, Vidisha",KURWAI,Madhya Pradesh,nan,nan
"Government College, Lateri",Lateri,Madhya Pradesh,nan,nan
"Government College, Mandi Dabwali",Dabwali,Haryana,nan,nan
"Government College, Nalwa",Hisar,Haryana,nan,nan
"Government College, Narnaul",Narnaul,Haryana,nan,nan
"Government College, Narshingarh, Rajgarh",Narsinghgarh,Madhya Pradesh,nan,nan
"Government College, Nattakom, Kottayam",Kottayam,Kerala,nan,nan
"Government College, Nedumangad",Thiruvananthapuram,Kerala,nan,nan
"Government College, Panchkula",Panchkula,Haryana,nan,nan
"Government College, Phoop",Phoop,Madhya Pradesh,nan,nan
"Government College, Shamshabad, Vidisha",Shamshabad,Madhya Pradesh,nan,nan
"Government College,Rourkela",Sundargarh,Odisha,nan,nan
Government D. B. P.G. Girls College kalibadi Chowk,Raipur,Chhattisgarh,nan,nan
Government D. S. V. Sanskrit College,Raipur,Chhattisgarh,nan,nan
Government Degree College,Veeraghattam,Andhra Pradesh,nan,nan
Government Degree College,Tekkali,Andhra Pradesh,nan,nan
Government Degree College,Chintalapudi,Andhra Pradesh,nan,nan
Government Degree College,Uravakonda,Andhra Pradesh,nan,nan
Government Degree College,Husnabad,Telangana,nan,nan
Government Degree College,Punch,Jammu and Kashmir,nan,nan
Government Degree College,Medchal,Telangana,nan,nan
Government Degree College,Korutla,Telangana,nan,nan
Government Degree College,Warangal (Rural),Telangana,nan,nan
Government Degree College,Warangal,Telangana,nan,nan
Government Degree College,"Huzurnagar, Suryapet District",Telangana,nan,nan
Government Degree College,Seethamapeta,Andhra Pradesh,nan,nan
Government Degree College,Srikakulam,Andhra Pradesh,nan,nan
Government Degree College,Razole,Andhra Pradesh,nan,nan
Government Degree College,Rajampeta,Andhra Pradesh,nan,nan
Government Degree College,Nagari,Andhra Pradesh,nan,nan
Government Degree College,Mandapeta,Andhra Pradesh,nan,nan
Government Degree College,Karvetinagaram,Andhra Pradesh,nan,nan
Government Degree College,Mendhar,Jammu and Kashmir,nan,nan
Government Degree College,Chodavaram,Andhra Pradesh,nan,nan
Government Degree College,Alur,Andhra Pradesh,nan,nan
Government Degree College,Porumamilla,Andhra Pradesh,nan,nan
Government Degree College,Ramachandrapuran,Andhra Pradesh,nan,nan
Government Degree College,Anantnag,Jammu and Kashmir,nan,nan
Government Degree College,Samba,Jammu and Kashmir,nan,nan
Government Degree College,Akhnoor,Jammu and Kashmir,nan,nan
Government Degree College,Reasi,Jammu and Kashmir,nan,nan
Government Degree College,Kishtwar,Jammu and Kashmir,nan,nan
